Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Completion Date,Start Date,Expected End Date,Completed Date,Finalized Date,Requested Date,Scheduled Date,Module Name,Address,Main Parcel
"ZPA2005-01744","Zoning Approval - Certificate of Zoning Approval","Approved","","","08/23/2004","","","","","","","","","Plan","10900 MISTY CREEK CT","7692-21-2591"
"ZNA2016-06148","Zoning Approval - Building Permit Zoning Approval","Approved","","","05/06/2016","","","","","","","","","Plan","4636 EASTERLIN WAY WOODBRIDGE VA 22192","8193-24-1438"
"ZNA2016-00271","Zoning Approval - Building Permit Zoning Approval","Approved","","","07/15/2015","","","","","","","","","Plan","9102 DAWKINS DR BRISTOW VA 20136","7596-41-0617"
"ZPA2001-03315","Zoning Approval - Sign","Approved","","","01/22/2001","","","","","","","","","Plan","7637 LINTON HALL RD","7397-63-9418"
"ZPA2001-03314","Zoning Approval - Sign","Approved","","","01/22/2001","","","","","","","","","Plan","7637 LINTON HALL RD","7397-63-9418"
"ZPA2004-08209","Zoning Approval - Sign","Approved","","","05/04/2004","","","","","","","","","Plan","12777 CROSSMAN CREEK WY","7495-69-9994"
"ZPA1998-01440","Zoning Approval - Certificate of Zoning Approval","Approved","","","09/29/1997","","","","","","","","","Plan","13208 OLD CHURCH RD","7692-46-2995"
"SUP2022-00008","Special Use - Special Use Permit","Approved","Haymarket Junction Top Shine Car Wash","","08/10/2021","","","","","","","","","Plan","6361 JOHN JAMES WAY HAYMARKET VA 20169","7298-61-3823"
"ZNA2016-00095","Zoning Approval - Building Permit Zoning Approval","Approved","","","07/07/2015","","","","","","","","","Plan","4451 WEEJUN LOOP WOODBRIDGE VA 22192","8193-35-5414"
"ZPA1999-00456","Zoning Approval - Certificate of Zoning Approval","Approved","","","07/24/1998","","","","","","","","","Plan","9615 HEATHER GREEN DR","7694-93-2461"
"ZPA1999-00151","Zoning Approval - Certificate of Zoning Approval","Approved","","","07/09/1998","","","","","","","","","Plan","10995 POPLAR FORD TL","7698-08-5218"
"ZNA2016-05570","Zoning Approval - Occupancy Permit Approval","Approved","","","04/14/2016","","","","","","","","","Plan","2701 NEABSCO COMMON PL Unit: 100 WOODBRIDGE VA 22191","8291-82-3062.00"
"LBE2013-00106","Bonds/Escrows Future Construction","Released","","","10/24/2012","","","","","","","","","Plan","4630 PRINCE WILLIAM PY","8193-22-0215"
"LBE2005-00640","Bonds/Escrows Future Construction","Active","","","04/29/2005","","","","","","","","","Plan","7356 CARVER RD","7297-84-3707"
"ZPA1999-02417","Zoning Approval - Sign","Approved","","","11/25/1998","","","","","","","","","Plan","7805 LINTON HALL RD","7397-71-5114"
"ZPA1996-03058","Zoning Approval - Certificate of Zoning Approval","Approved","","","02/26/1996","","","","","","","","","Plan","4128 MILL CREEK RD","7200-41-4651"
"ZNR2018-00174","Zoning Review - Interpretation/Determination","Closed","","","05/09/2018","","","","","","","","","Plan","9604 HORNBAKER RD MANASSAS VA 20109","7595-76-7903"
"PCE2006-02342","Zoning","Closed - All Issues Resolved","","","02/07/2006","","","","","","10/10/2006","","","Code Case","18625 AMIDON AV","8188-64-5922"
"DPA2016-00019","Development Policy Amendment - Zoning Text Amendment","Approved","DORT Recommendations","","06/21/2016","","","","","","","","","Plan","",""
"ZPA2000-04016","Zoning Approval - Occupancy Permit Approval","Approved","","","03/08/2000","","","","","","","","","Plan","12744 DARBY BROOKE CT","8393-51-4564.01"
"ZPA2010-04805","Zoning Approval - Sign","Approved","","","04/24/2010","","","","","","","","","Plan","14325 CROSSING PL","8392-03-1584"
"ZPA2004-08210","Zoning Approval - Sign","Approved","","","05/04/2004","","","","","","","","","Plan","11761 CHANCEFORD DR","8194-30-3407"
"PCE2014-01883","Zoning","Closed - All Issues Resolved","","","12/11/2013","","","","","","03/12/2014","","","Code Case","14003 ERMINE CT","8092-92-3933"
"ZPA2000-06486","Zoning Approval - Sign","Expired","","","06/29/2000","","","","","","","","","Plan","13600 MINNIEVILLE RD","8292-13-5160"
"ZPA2001-02829","Zoning Approval - Sign","Approved","","","12/11/2000","","","","","","","","","Plan","2542 PRINCE WILLIAM PY","8292-83-5911"
"ZPA2000-03432","Zoning Approval - Sign","Approved","","","02/04/2000","","","","","","","","","Plan","7805 LINTON HALL RD","7397-62-5255"
"ZPA2004-04442","Zoning Approval - Sign","Approved","","","12/09/2003","","","","","","","","","Plan","12821 BRAEMAR VILLAGE PZ","7495-77-7361"
"ZPA2005-02034","Zoning Approval - Sign","Approved","","","09/01/2004","","","","","","","","","Plan","7350 ATLAS WALK WY","7397-74-0932"
"LBE2017-00029","Bonds/Escrows Landscape Escrow","Active","","","08/24/2016","","","","","","","","","Plan","18199 POSSUM POINT RD DUMFRIES VA 22026","8288-78-9154"
"ZNR2021-00097","Zoning Review - Interpretation/Determination","Closed","","","10/26/2020","","","","","","","","","Plan","4381 RIDGEWOOD CENTER DR WOODBRIDGE VA 22192","8193-30-7967"
"ZPA2004-08153","Zoning Approval - Sign","Approved","","","05/03/2004","","","","","","","","","Plan","13521 CLASSIC OAKS CT","7892-95-4530"
"ZPA2004-08152","Zoning Approval - Sign","Approved","","","05/03/2004","","","","","","","","","Plan","13514 CLASSIC OAKS CT","7892-95-0715"
"SUP2016-00022","Special Use - Special Use Permit","Approved","Taco Bell - Old Bridge Rd","","03/28/2016","","","","","","","","","Plan","3308 OLD BRIDGE RD WOODBRIDGE VA 22192","8293-04-8749"
"SUP2020-00012","Special Use - Special Use Permit","Approved","Shops at County Center","","09/23/2019","","","","","","","","","Plan","12601 GALVESTON CT MANASSAS VA 20112","8093-72-2873"
"ZON2020-01945","Zoning","Closed - Abated","","","06/26/2020","","","","","","09/09/2020","","","Code Case","5900 CROOKED CREEK DR MANASSAS VA 20112","8094-13-6733"
"SUP2023-00018","Special Use - Special Use Permit","Under Review","Edge Car Wash, Sudley Road ","","02/20/2023","","","","","","","","","Plan","8430 SUDLEY RD MANASSAS VA 20109","7696-85-1866"
"DPA2018-00008","Development Policy Amendment - Worksession","Review Completed","DORT Recommendations","","09/27/2017","","","","","","","","","Plan","",""
"SUP2019-00029","Special Use - Special Use Permit","Withdrawn","Gainesville Crossing","","11/29/2018","","","","","","","","","Plan","12551 LEE HWY GAINESVILLE VA 20155","7497-67-8141"
"ZNR2019-00100","Zoning Review - Interpretation/Determination","Closed","","","03/22/2019","","","","","","","","","Plan","5000 WELLINGTON RD GAINESVILLE VA 20155","7397-71-8742"
"ZPA2004-09732","Zoning Approval - Sign","Approved","","","06/17/2004","","","","","","","","","Plan","12104 RAIN SLICKER PL","7595-22-4461"
"ZPA2002-06171","Zoning Approval - Sign","Approved","","","04/23/2002","","","","","","","","","Plan","12700 BLACK FOREST LN","8193-11-7066"
"ZPA2015-00131","Zoning Approval - Building Permit Zoning Approval","Approved","","","07/09/2014","","","","","","","","","Plan","4404 WEEJUN LP","8193-35-0025"
"PCE2011-01452","Zoning","Closed - All Issues Resolved","","","09/23/2010","","","","","","11/03/2010","","","Code Case","11498 ROBERTSON DR","7596-71-1634.01"
"ZPA2002-06170","Zoning Approval - Sign","Approved","","","04/23/2002","","","","","","","","","Plan","12700 BLACK FOREST LN","8193-11-7066"
"PLN2012-00434","Special Use - Special Use Permit","Approved","","","06/26/2012","","","","","","","","","Plan","1800 POTOMAC SHORES PY","8389-42-9772"
"PLNP2015-20116","Planning Projects","Closed","Brady's Village ","","","","","05/14/2015","","09/11/2017","","","","Project","18428 OLD TRIANGLE RD TRIANGLE VA 22172","8188-75-3363"
"SUP2021-00004","Special Use - Special Use Permit","Board Scheduled","John Marshall Commons Technology Park","","07/31/2020","","","","","","","","","Plan","14392 JOHN MARSHALL HWY GAINESVILLE VA 20155","7397-46-4281"
"SUP2021-00030","Special Use - Special Use Permit","Pending","Compton Property","","05/24/2021","","","","","","","","","Plan","8750 RIXLEW LN MANASSAS VA 20109","7696-56-8064"
"ZON2020-01795","Zoning","Closed - Abated","","","05/26/2020","","","","","","05/11/2021","","","Code Case","3318 OLD BRIDGE RD WOODBRIDGE VA 22192","8293-03-0262"
"SUP2016-00031","Special Use - Special Use Permit","Approved","Innovation Town Center","","06/24/2016","","","","","","","","","Plan","8226 WELLINGTON RD MANASSAS VA 20109","7596-92-6825"
"SUP2017-00014","Special Use - Special Use Permit","Approved","Haddad Property","","10/07/2016","","","","","","","","","Plan","14554 LEE HWY GAINESVILLE VA 20155","7397-23-1228"
"PLNP2015-20002","Planning Projects","Active","MINNIEVILLE TERRACE SHOPPING CENTER","","","","","10/01/2014","","","","","","Project","2915 GARBER WAY WOODBRIDGE VA 22192","8292-56-8930"
"WAI2019-00027","Waiver - DCSM Sec 600","Approved","Dominion Valley Country Club Proffer Amendment","","09/17/2018","","","","","","","","","Plan","5600 JAMES MADISON HWY HAYMARKET VA 20169","7298-49-4583"
"PLNP2023-00029","Planning Projects","Active","Casey's Corner PRA ","","","","","","","","","","","Project","13039 BALLS FORD RD MANASSAS VA 20109","7496-99-5193"
"SUP2021-00002","Special Use - Special Use Permit","Approved","I-66 & Route 29 Technology Park","","07/20/2020","","","","","","","","","Plan","14210 JOHN MARSHALL HWY GAINESVILLE VA 20155","7397-65-0198"
"WAI2018-00055","Waiver - DCSM Sec 800","Closed","","","12/14/2017","","","","","","","","","Plan","9805 LIBERIA AV MANASSAS VA 20110","7895-24-5376"
"PCE2006-01692","Zoning","Closed - All Issues Resolved","","","11/14/2005","","","","","","01/04/2006","","","Code Case","14405 BROADWINGED DR","7396-50-3594"
"WAI2019-00028","Waiver - DCSM Sec 600","Approved","Dominion Valley Country Club Proffer Amendment","","09/17/2018","","","","","","","","","Plan","5600 JAMES MADISON HWY HAYMARKET VA 20169","7298-49-4583"
"PLNP2016-00019","Planning Projects","Closed","Lindsay Chrysler - Manassas","","","","","","","03/08/2017","","","","Project","8450 MAPLEWOOD DR MANASSAS VA 20111","7896-18-5692"
"FOIA2017-00649","FOIA Request","Completed","","","11/28/2016","12/05/2016","","","","","12/05/2016","","","Request","13804 DAWSON BEACH RD WOODBRIDGE VA 22191","8492-13-0702"
"FOIA2017-00633","FOIA Request","Closed  Job Completed","","","11/23/2016","11/30/2016","","","","","11/23/2016","","","Request","13804 DAWSON BEACH RD WOODBRIDGE VA 22191","8492-13-0702"
"LBE2015-00010","Bonds/Escrows Future Construction","Active","","","07/08/2014","","","","","","","","","Plan","8126 QUARRY RD","7896-31-8680"
"PLNP2016-00004","Planning Projects","Completed","Grant Avenue Assemblage - Addition","","","","","","","04/06/2016","","","","Project","10531 GRANT AV MANASSAS VA 20110","7794-98-5362"
"ZON2022-00562","Zoning","Closed - Abated","","","09/29/2021","","","","","","01/13/2022","","","Code Case","14314 FLEETWOOD DR NOKESVILLE VA 20181","7591-58-4405"
"ZTA1996-0005","Development Policy Amendment - Zoning Text Amendment","Approved","","","07/23/1996","","","","","","","","","Plan","0000 NO ADDRESS","1996-00-0000"
"WAI2023-00015","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-96-9852"
"WAI2023-00017","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-96-9852"
"WAI2023-00021","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-95-6684"
"WAI2023-00022","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-95-6684"
"WAI2023-00014","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-96-9852"
"WAI2023-00016","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-96-9852"
"WAI2023-00018","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-96-9852"
"WAI2023-00019","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-95-6684"
"WAI2023-00020","Waiver - DCSM Sec 600","Pending","Riverside Station","","07/28/2022","","","","","","","","","Plan","","8392-95-6684"
"ZON2021-00422","Zoning","Pending","","","09/17/2020","","","","","","","","","Code Case","4381 RIDGEWOOD CENTER DR WOODBRIDGE VA 22192","8193-30-7967"
"PLNP2015-20104","Planning Projects","Active","Haymarket Crossing","","","","","03/06/2015","","","","","","Project","15350 HEATHCOTE BL HAYMARKET VA 20169","7298-64-4969"
"PLNP2016-00003","Planning Projects","Completed","New Dominion Square - 2nd Addition","","","","","07/29/2015","","04/06/2016","","","","Project","10528 GRANT AV MANASSAS VA 20110","7794-88-9469"
"PLNP2015-20128","Planning Projects","Active","TACKETT'S VILLAGE","","","","","","","","","","","Project","2090 TACKETTS VILLAGE SQ WOODBRIDGE VA 22192","8393-21-5208"
"PLNP2017-00029","Planning Projects","Closed","Pennington Lane","","","","","10/12/2016","","05/15/2018","","","","Project","3716 PENNINGTON LN WOODBRIDGE VA 22192","8192-86-8788"
"SUP1995-0016","Special Use - Special Use Permit","Approved","","","01/24/1995","","","","","","","","","Plan","7 COUNTY COMPLEX CT","8193-27-8795"
"FOIA2020-00617","FOIA Request","Completed","","","10/17/2019","10/21/2019","","","","","10/17/2019","","","Request","8131 BETHLEHEM RD MANASSAS VA 20109","7596-88-3377"
"ZNR2015-20059","Zoning Review - Interpretation/Determination","Review Completed","","","04/15/2015","","","","","","","","","Plan","9101 BALATON LAKE LN BRISTOW VA 20136","7596-30-8062"
"FOIA2020-00685","FOIA Request","Completed","","","10/31/2019","11/07/2019","","","","","10/31/2019","","","Request","8125 HONEY BEE WAY MANASSAS VA 20111","7896-31-6420"
"PLNP2015-20045","Planning Projects","Closed","Stone Haven","","","","","10/28/2013","","12/10/2015","","","","Project","8008 DEVLIN RD BRISTOW VA 20136","7496-65-4921"