Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Completion Date,Start Date,Expected End Date,Completed Date,Finalized Date,Requested Date,Scheduled Date,Module Name,Address,Main Parcel
"REZ1970-0047","Rezoning - Mixed Use","Superseded","","","05/27/1970","","","","","","","","","Plan","","8393-12-4408"
"REZ1964-0018","Rezoning - Mixed Use","Approved","","","06/11/1964","","","","","","","","","Plan","16202 NEABSCO RD","8390-64-6217"
"REZ1972-0027","Rezoning - Mixed Use","Approved","","","01/27/1972","","","","","","","","","Plan","14115 JEFFERSON DAVIS HY","8392-61-5223"
"REZ1958-0118","Rezoning - Residential","Approved","","","09/12/1963","","","","","","","","","Plan","3661 MASTHEAD TL","8288-09-1549"
"REZ1976-0018","Rezoning - Residential","Approved","","","09/18/1975","","","","","","","","","Plan","8303 HIGHLAND ST","7796-26-1190"
"REZ1978-0020","Rezoning - Mixed Use","Approved","","","04/18/1978","","","","","","","","","Plan","8675 PLANT PL","7794-94-5753"
"REZ1958-037B","Rezoning - Residential","Approved","","","06/17/1960","","","","","","","","","Plan","2411 WEST LONGVIEW DR","8392-42-7363"
"REZ1974-0003","Rezoning - Mixed Use","Approved","","","10/03/1973","","","","","","","","","Plan","8722 STONERIDGE DR","7797-93-4522"
"REZ1973-0017","Rezoning - Mixed Use","Approved","","","02/01/1973","","","","","","","","","Plan","14555 GIDEON DR","8291-56-9010"
"REZ1984-0012","Rezoning - Residential","Approved","","","09/29/1983","","","","","","","","","Plan","7821 PURCELL BRANCH CT","7892-67-7282"
"REZ1985-0035","Rezoning - Mixed Use","Approved","","","01/08/1985","","","","","","","","","Plan","14142 SMOKETOWN RD","8291-58-4206"
"REZ1973-0014","Rezoning - Mixed Use","Approved","","","01/09/1973","","","","","","","","","Plan","8418 MAPLEWOOD DR","7896-18-6841"
"REZ1971-0043","Rezoning - Mixed Use","Approved","","","04/26/1971","","","","","","","","","Plan","16128 NEABSCO RD","8390-64-4839"
"REZ1986-0017","Rezoning - Mixed Use","Approved","","","09/03/1985","","","","","","","","","Plan","14716 INDUSTRY CT","8391-86-7546"
"REZ1982-0015","Rezoning - Mixed Use","Approved","","","03/08/1982","","","","","","","","","Plan","2320 OLD HORNER RD","8292-94-0269"
"REZ1958-0153","Rezoning - Residential","Approved","","","09/19/1963","","","","","","","","","Plan","4117 ANDERSON RD","8188-54-4487"
"REZ1995-0021","Rezoning - Mixed Use","Superseded","","","03/22/1995","","","","","","","","","Plan","3800 DEWEY BL","8189-87-8293"
"REZ1994-0028","Rezoning - Residential","Superseded","","","04/05/1994","","","","","","","","","Plan","14140 CUDDY LP","8291-19-5266.01"
"REZ1991-0019","Rezoning - Non-Residential","Superseded","","","09/24/1990","","","","","","","","","Plan","13851 TELEGRAPH RD","8292-82-8390"
"REZ1993-0006","Rezoning - Residential","Superseded","","","09/24/1992","","","","","","","","","Plan","13703 DAWSON BEACH RD","8492-03-9671"
"REZ1996-0023","Rezoning - Non-Residential","Approved","","","12/28/1995","","","","","","","","","Plan","13590 MINNIEVILLE RD","8292-23-8176"
"REZ1990-0020","Rezoning - Residential","Approved","","","08/29/1989","","","","","","","","","Plan","4953 FRISHMAN CT","8091-96-1198"
"PLN2001-00054","Rezoning - Proffer Amendment","Approved","","","08/31/2000","","","","","","","","","Plan","14555 JOHN MARSHALL HY","7397-17-7792"
"REZ1989-0051","Rezoning - Residential","Superseded","","","09/27/1988","","","","","","","","","Plan","6950 OLD CAROLINA RD","7297-76-9963"
"REZ2022-00011","Rezoning - Residential","Pending","East Gate Apartments","","09/08/2021","","","","","","","","","Plan","18430 LOTUS CT Unit: 104 TRIANGLE VA 22172","8188-56-7718"
"REZ1984-0046","Rezoning - Mixed Use","Approved","","","04/10/1984","","","","","","","","","Plan","2700 METRO PZ","8291-68-9207"
"PLN2000-00018","Rezoning - Proffer Amendment","Approved","","","11/29/1999","","","","","","","","","Plan","6621 HUNTERS RIDGE RD","7993-58-9730"
"REZ2019-00039","Rezoning - Non-Residential","Approved","Ashley Business Park","","06/20/2019","","","","","","","","","Plan","7404 CUSHING RD MANASSAS VA 20109","7597-03-1361"
"REZ2021-00018","Rezoning - Non-Residential","Approved","Hudson Limited Partnership","","05/03/2021","","","","","","","","","Plan","8819 WELLINGTON RD MANASSAS VA 20109","7696-42-2354"
"REZ1988-0056","Rezoning - Mixed Use","Superseded","","","01/26/1988","","","","","","","","","Plan","13183 RETTEW DR","7893-56-3122"
"REZ2018-00001","Rezoning - Proffer Amendment","Approved","Ashwood","","07/11/2017","","","","","","","","","Plan","10400 HARRY J PARRISH BLVD MANASSAS VA 20110","7695-50-2691"
"REZ2018-00005","Rezoning - Non-Residential","Approved","English Gardens","","09/08/2017","","","","","","","","","Plan","14195 DUMFRIES RD MANASSAS VA 20112","7892-51-2126"
"REZ2016-00014","Rezoning - Non-Residential","Approved","AllSite at Industrial Road","","02/11/2016","","","","","","","","","Plan","11124 INDUSTRIAL RD MANASSAS VA 20109","7595-68-8696"
"REZ2017-00023","Rezoning - Mixed Use","Approved","Aura Development","","04/12/2017","","","","","","","","","Plan","8227 LINTON HALL RD BRISTOW VA 20136","7496-37-4872"
"REZ2016-00018","Rezoning - Mixed Use","Approved","Apollo Enterprises, LLC","","04/25/2016","","","","","","","","","Plan","12701 APOLLO DR WOODBRIDGE VA 22192","8093-81-6290"
"REZ2020-00006","Rezoning - Non-Residential","Approved","Lake Ridge Nursery","","09/09/2019","","","","","","","","","Plan","3705 OLD BRIDGE RD WOODBRIDGE VA 22192","8193-92-0448"
"REZ2022-00026","Rezoning - Proffer Amendment","Approved","HOADLY FALLS PHASE 1","","04/13/2022","","","","","","","","","Plan","5500 PRINCE WILLIAM PKWY WOODBRIDGE VA 22192","8093-54-3668"
"REZ2019-00018","Rezoning - Mixed Use","Approved","Quartz District","","10/18/2018","","","","","","","","","Plan","13930 MINNIEVILLE RD WOODBRIDGE VA 22193","8192-74-5435"
"REZ2022-00009","Rezoning - Proffer Amendment","Approved","Balls Ford Road","","09/10/2021","","","","","","","","","Plan","12980 BALLS FORD RD MANASSAS VA 20109","7597-02-0716"
"REZ2022-00023","Rezoning - Proffer Amendment","Withdrawn","BLACKBURN LAND BAY 5 PRA","","03/18/2022","","","","","","","","","Plan","10920 BALLS FORD RD MANASSAS VA 20109","7597-95-8953"
"REZ2018-00026","Rezoning - Mixed Use","Approved","Independent Hill Village","","06/27/2018","","","","","","","","","Plan","14365 INDEPENDENT HILL DR MANASSAS VA 20112","7891-57-3493"
"REZ1998-0018","Rezoning - Non-Residential","Approved","","","11/25/1997","","","","","","","","","Plan","14635 SPRIGGS RD","8091-45-7860"
"REZ2023-00023","Rezoning - Residential","Under Review","STRATHMORE","","02/27/2023","","","","","","","","","Plan","9800 PIONEER DR NOKESVILLE VA 20181","7495-04-6883"
"REZ2016-00030","Rezoning - Mixed Use","Superseded","Innovation Town Center","","06/24/2016","","","","","","","","","Plan","8226 WELLINGTON RD MANASSAS VA 20109","7596-92-6825"
"REZ1999-0015","Rezoning - Non-Residential","Superseded","","","09/30/1998","","","","","","","","","Plan","8213 LINTON HALL RD","7396-98-9736"
"PLN2001-00269","Rezoning - Non-Residential","Superseded","","","03/30/2001","","","","","","","","","Plan","8170 BETHLEHEM RD","7596-68-3426"
"REZ2023-00001","Rezoning - Proffer Amendment","Under Review","INNOVATION ON THE PARKWAY PRA","","09/06/2022","","","","","","","","","Plan","11101 UNIVERSITY BLVD MANASSAS VA 20110","7695-09-7902"
"REZ2018-00024","Rezoning - Non-Residential","Pending","MGM Enterprises Office Building","","05/15/2018","","","","","","","","","Plan","3955 PRINCE WILLIAM PKWY WOODBRIDGE VA 22192","8192-66-8293"
"REZ2023-00029","Rezoning - Proffer Amendment","Under Review","Riverside Station Land Bay A PRA ","","06/15/2023","","","","","","","","","Plan","13441 OCCOQUAN RD WOODBRIDGE VA 22191","8392-95-9150"
"REZ2023-00014","Rezoning - Proffer Amendment","Under Review","Reid's Prospect Land Bay H PRA","","02/14/2023","","","","","","","","","Plan","4439 DAISY REID AVE WOODBRIDGE VA 22192","8193-31-3862"
"REZ2022-00010","Rezoning - Residential","Approved","Kings Crest","","09/17/2021","","","","","","","","","Plan","6400 PRINCE WILLIAM PKWY WOODBRIDGE VA 22192","7994-70-7727"
"REZ2023-00022","Rezoning - Mixed Use","Under Review","BRISTOW CROSSING","","03/31/2023","","","","","","","","","Plan","11904 NOKESVILLE RD BRISTOW VA 20136","7594-39-3155"
"REZ2021-00008","Rezoning - Mixed Use","Under Review","Windsor Oaks","","11/17/2020","","","","","","","","","Plan","3695 ELM FARM RD WOODBRIDGE VA 22192","8192-95-1352"
"REZ2021-00010","Rezoning - Residential","Under Review","Old Carolina Overlook","","01/08/2021","","","","","","","","","Plan","7370 OLD CAROLINA RD GAINESVILLE VA 20155","7297-55-9404"
"PLNP2017-00006","Planning Projects","Active","Potomac Town Center","","","","","","","","","","","Project","14900 POTOMAC TOWN PL WOODBRIDGE VA 22191","8291-94-2928"
"REZ2018-00022","Rezoning - Non-Residential","Withdrawn","Restaurants at River Heritage","","04/20/2018","","","","","","","","","Plan","16915 JEFFERSON DAVIS HWY DUMFRIES VA 22026","8289-38-7611"
"REZ2016-00010","Rezoning - Residential","Approved","Danfora Property","","12/01/2015","","","","","","","","","Plan","15628 BUSHEY DR WOODBRIDGE VA 22193","8290-29-1059"
"REZ2015-20002","Rezoning - Non-Residential","Approved","Wolf Run Industrial ","","12/10/2014","","","","","","","","","Plan","14501 DUMFRIES RD MANASSAS VA 20112","7891-77-6696"
"REZ2016-00006","Rezoning - Residential","Approved","Carter's Grove","","09/21/2015","","","","","","","","","Plan","13770 SPRIGGS RD MANASSAS VA 20112","7992-82-9817"
"REZ2019-00025","Rezoning - Proffer Amendment","Approved","Westview 66 ","","02/06/2019","","","","","","","","","Plan","11314 BALLS FORD RD MANASSAS VA 20109","7597-85-1301"
"PLN2012-00174","Rezoning - Proffer Amendment","Approved","","","11/17/2011","","","","","","","","","Plan","5100 WELLINGTON RD Unit: NONE (BJS REVISED)","7397-71-5114"
"REZ1958-0132","Rezoning - Mixed Use","Superseded","","","01/01/1958","","","","","","","","","Plan","",""
"REZ1968-0025","Rezoning - Mixed Use","Approved","","","06/10/1968","","","","","","","","","Plan","13455 TELEGRAPH RD Unit: COMM. LOT ADDITION","8392-05-3846"
"REZ1970-0001","Rezoning - Residential","Superseded","","","07/01/1969","","","","","","","","","Plan","",""
"REZ1958-0152","Rezoning - Mixed Use","Approved","","","07/18/1963","","","","","","","","","Plan","13000 I-95 HY","8392-59-4465"
"REZ1965-0024","Rezoning - Mixed Use","Superseded","","","04/10/1965","","","","","","","","","Plan","",""
"REZ1966-0034","Rezoning - Mixed Use","Approved","","","04/13/1966","","","","","","","","","Plan","13000 I-95 HY","8392-59-4465"
"REZ1970-0011","Rezoning - Mixed Use","Superseded","","","09/29/1969","","","","","","","","","Plan","",""
"REZ1958-0158","Rezoning - Mixed Use","Superseded","","","07/18/1963","","","","","","","","","Plan","",""
"REZ1958-0112","Rezoning - Mixed Use","Superseded","","","12/05/1962","","","","","","","","","Plan","",""
"REZ1965-0017","Rezoning - Residential","Superseded","","","05/20/1965","","","","","","","","","Plan","",""
"REZ1958-0147","Rezoning - Mixed Use","Superseded","","","01/01/1958","","","","","","","","","Plan","",""
"REZ1969-0023","Rezoning - Mixed Use","Superseded","","","02/12/1969","","","","","","","","","Plan","",""
"REZ1973-0009","Rezoning - Mixed Use","Withdrawn","","","11/02/1972","","","","","","","","","Plan","",""
"REZ1976-0014","Rezoning - Mixed Use","Superseded","","","09/15/1975","","","","","","","","","Plan","",""
"REZ1974-0029","Rezoning - Mixed Use","Superseded","","","03/21/1974","","","","","","","","","Plan","",""
"REZ1977-0004","Rezoning - Mixed Use","Superseded","","","10/20/1976","","","","","","","","","Plan","",""