Case.Number,n_units_desc,n_sfd,n_sfa,n_mfd,n_unknown,n_unknown_pacre,n_age_restrict,n_affordable,proffer_details,res_cash_proffer,other_cash_proffer
15SN0562,Rezoning from Agricultural to Residential R-15 plus conditional use planned development on 5.2 acres. The proposed change would allow for residential use of up to 2.90 units per acre.,,,,,2.9,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions mentioned in the passage.The passage does not describe any cash proffer contributions made by the developer.Empty stringEmpty stringEmpty stringThere are no cash proffer contributions described in the passage.,,
15SN0610,Rezoning from Residential to Agricultural with conditional use planned development to permit exceptions to public road frontage requirements. No specific information provided about the number or type of housing units that would be built.,,,,,,,,"""""",,
15SN0606,"Rezoning from Agricultural to Community Business C-3 will allow for commercial development with exceptions to setback and buffer requirements. The proposed change includes proffered conditions such as restrictions on certain uses, limitations on operating hours, and architectural design requirements. No information is provided regarding the number or type of housing units that would be built.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
09SN0141,Rezoning from Residential to Neighborhood Business on 12.5 acres located in the northeast corner of the intersection of Cogbill Road and Five Forks Lane. Density will be controlled by zoning conditions or Ordinance standards.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
15SN0621,Rezoning from Agricultural to Residential will allow for residential use of up to 2.90 units per acre. The property shall not be further subdivided.,,,,,2.9,,,The passage does not describe any cash proffer contributions made by the developer.,,
15SN0627,"Rezoning from General Business and Corporate Office to Community Business will allow for various permitted uses, including motor vehicle sales, service, repair, and rental (with restrictions), and a tattoo parlor (including body piercing) in compliance with all laws regulating such use.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
13SNO521,"Rezoning from Residential (R-88) to Residential (R-25) with rezoning conditional use planned development to permit exceptions to ordinance requirements and amendment of zoning district map. Density will be controlled by zoning conditions or ordinance standards. The proposed change is a residential subdivision with 105 dwelling units, with a maximum of approximately 56 dwellings designated as ""housing for older persons.""",49,,,,,56,,"The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.The developer has made cash proffer contributions for infrastructure improvements within the service district for the property. For lots within Area ""A"", the amount paid per dwelling unit is $9,600, with specific allocations for schools, fire, library, and road infrastructure. For age-restricted lots within Area B, the amount paid per dwelling unit is $9,000, with allocations for fire, library, and road infrastructure. For lots within Area B that are not age-restricted, the amount paid per dwelling unit is $18,966.The passage does not describe any cash proffer contributions made by the developer.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.The passage does not describe any cash proffer contributions made by the developer.",,
15SNO643,"Rezoning from Agricultural and Light Industrial to Neighborhood Business with conditional use planned development will permit an existing communications tower, exceptions to ordinance requirements, and amendment of zoning district map. Density will be controlled by zoning conditions or Ordinance standards.",,,,,,,,"The developer has made the following cash proffer contributions: 
1. Dedication of 100 feet of right-of-way on the west side of Iron Bridge Road to Chesterfield County.
2. Construction of road improvements including an additional lane of pavement along the eastbound lanes of Route 10, additional pavement at each approved access for a separate right turn lane, additional pavement along the westbound lanes of Route 10 for left turn lanes at the existing crossover, construction of a sidewalk along Route 10, and full cost of traffic signal modifications at the Route 10/private drive intersection if warranted.The passage does not describe any cash proffer contributions made by the developer.",,
15SN0650,Rezoning from Light Industrial to General Business will allow for the operation of a contractor's shop and storage yard. No information is provided about the number or type of housing units that would be built.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.,,
15SN0660,Rezoning from Agricultural to Residential will allow up to 2.90 units per acre.,,,,,2.9,,,"The developer has made cash proffer contributions for infrastructure improvements within the cash proffer service district for the property. The cash proffer amount is $18,966 per dwelling unit, with allocations for schools, parks and recreation, library facilities, roads, and fire stations.No cash proffer contributions are described in the passage.",18966,
15SN0663,"Rezoning from Residential to Neighborhood Office on 8.3 acres of land. The proposed change would allow for the following permitted uses: nursery schools and child or adult day care centers, offices, and church and/or Sunday schools.",,,,,,,,"The developer has made two cash proffer contributions in this rezoning case. The first proffer is that no direct vehicular access will be provided from the property to West Hundred Road. The second proffer is that permitted uses will be limited to nursery schools and child or adult day care centers, offices, and church and/or Sunday schools.",,
15SN0666,"Rezoning from agricultural to light industrial on 2.7 acres fronting 480 feet on the north line of Midlothian Turnpike, 670 feet west of Old Otterdale Road. Density will be controlled by zoning conditions or Ordinance standards.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.,,
15SN0652,Rezoning from Agricultural to Residential will allow residential use of up to 1.74 units per acre.,,,,,1.74,,,"The developer has proffered to increase the allocation of the cash proffer payment for the Schools capital facilities to the full calculated impact.The developer is required to make cash proffer contributions for each dwelling unit in the amount of $18,966. These contributions will be allocated towards facility costs such as schools, parks and recreation, library facilities, roads, and fire stations.Empty stringEmpty string",18966,
15SN0607,Rezoning from Agricultural to General Industrial on 33.5 acres. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The developer has made a cash proffer contribution of a supplemental access not involving the Ashton Creek Flood Plain to mitigate the level of improvement to the existing driveway that would be required.,,
15SN0636,NA,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.,,
13SNO110,Rezoning from Residential Townhouse to Multifamily Residential will allow for the development of a medium-high density residential area with a minimum of 4.0 to 8.0 dwellings per acre. The proposed development will include the construction of Ashbrook Parkway extension and pedestrian connections.,,,,,8,,,"The developer has agreed to pay cash proffers for each dwelling unit constructed with three or more bedrooms. The amount of the cash proffer is $18,966 per unit.The developer has made cash proffer contributions of $11,152.00 per dwelling unit for parks, libraries, fire, and roads, for the period beginning July 1 preceding the Board of Supervisors' approval of the case through July 1 four years later, with adjustments for the change to the Marshall and Swift Building Cost Index. Additionally, if any building permits issued on the property are for senior housing, the developer will pay the same cash proffer amount.The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.Empty stringEmpty stringThere are no cash proffer contributions described in the passage.",,
ISSM0997,"Rezoning from Agricultural to Multifamily Residential with conditional use to permit group care facility plus conditional use planned development to permit exceptions to ordinance requirements and amendment of zoning district map. Density will be controlled by zoning conditions or Ordinance standards. The proposal includes a senior residential development with a maximum of 112 multifamily dwelling units, with 56 proffered units classified as independent living units licensed by the Department of Social Services.",,,,,,112,,"The developer has proposed reduced cash proffers for dwelling units licensed as assisted living units, but the specific amount of the cash proffers is not mentioned in the passage.The developer has agreed to make cash proffer contributions for this rezoning case. For each of the 56 dwelling units identified as Independent Living Units, the developer will pay $11,152.00 per unit, allocated among parks and recreation, library facilities, roads, and fire stations. The amount will be adjusted annually based on the change in the Marshall and Swift Building Cost Index.The developer has agreed to make cash proffer contributions for infrastructure improvements. The cash proffer amount for each dwelling unit is $10,400 for Independent Living Units and $697 for Assisted Living Units. The payments will be adjusted annually based on the change in the Marshall and Swift Building Cost Index.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.No cash proffers are described in the passage.",11152,
16SNO553,Rezoning from Residential to Agricultural with conditional use to permit a storage yard for storage containers on the property.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
16SN0537,"Rezoning from Residential, Community Business, and General Business to Neighborhood Business plus conditional use planned development. The proposed change includes allowing exceptions to ordinance requirements and amending the zoning district map. The density will be controlled by zoning conditions or ordinance standards. The Comprehensive Plan suggests the property is appropriate for Neighborhood Business use.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.,,
16SN0552,"Rezoning from General Business (C-5) to General Business (C-5) with conditional use for multi-family residential and conditional use planned development. The proposed change includes the development of an 80-unit age-restricted multifamily apartment building on five acres of the eight-acre tract. The applicant has proffered a maximum of 80 dwelling units, with all units restricted to housing for older persons. The applicant has also proffered $7,000 per dwelling unit to address the impact of the development on capital facilities, specifically roads and fire.",,,,,,80,,"The developer has proffered $7,000 per dwelling unit to address the impact of the development on capital facilities, to be allocated among the facilities costs for roads and fire.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.The developer is required to make a cash proffer contribution of $7,000 per dwelling unit for infrastructure improvements within the service district, with $6,303 allocated for roads and $697 for fire stations. The amount will be adjusted annually based on the change in the Marshall and Swift Building Cost Index.No cash proffer contributions are described in the passage.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.Empty string",7000,
15SM0656,Rezoning from Community Business (C-3) to Community Business (C-3) with conditional use planned development on 25.4 acres. Density will be controlled by zoning conditions or Ordinance standards. The Comprehensive Plan suggests the property is appropriate for Suburban Commercial District and Planned Transition Area uses.,,,,,,,,There is no mention of any cash proffer contributions made by the developer in the passage.,,
16SN0554,,,,,,,,,"The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.The developer is required to pay $11,152 per dwelling unit for infrastructure improvements within the service district for the property, with the amount adjusted annually based on the change in the Marshall and Swift Building Cost Index. The cash proffer payments will be allocated among facility categories for parks and recreation, fire, libraries, and roads.No cash proffer contributions are described in the passage.No cash proffer contributions are described in the passage.",11152,
16SNO568,Rezoning from Residential to Agricultural with conditional use planned development. Density will be controlled by zoning conditions or Ordinance standards. Maximum of three single-family dwelling units permitted. Minimum lot area for Lots 2 and 3 is 1.5 acres. No public road frontage required for Lots 1 and 2. Minimum of 70 feet of public road frontage required for Lot 3. Access to lots with no public road frontage provided through easement. 20-foot wide driveway to be constructed and maintained to all weather standards.,3,,,,,,,The passage does not describe any cash proffer contributions made by the developer.Empty string,,
16SN0570,Rezoning from Residential to Agricultural on 89.2 acres. Density will be controlled by zoning conditions or Ordinance standards.,,,,,,,,The developer made a cash proffer contribution of an approval letter from the conservation easement holder to verify their acknowledgement and approval of any subsequent subdivision and additional building area(s) created on any new parcel(s).,,
16SN0558,"Rezoning from Agricultural to Multifamily will allow for a maximum of 82 age-restricted multifamily dwelling units, yielding a density of 4.1 dwelling units per acre.",,,,,,82,,"The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.The passage does not describe any cash proffer contributions made by the developer.The developer is required to pay a cash proffer of $11,152 per dwelling unit, adjusted annually based on the change in the Marshall and Swift Building Cost Index. The cash proffer payments are to be used for the purposes proffered or as otherwise permitted by law.The passage does not describe any cash proffer contributions made by the developer.",11152,
16SNO680,Rezoning from Neighborhood Business to General Industrial will delete a buffer on 0.6 acres and amend conditional use planned development on 10.5 acres. Density will be controlled by zoning conditions or Ordinance standards.,,,,,,,,"The developer has made cash proffer contributions in this rezoning case. However, the passage does not provide any specific details about the amount or purpose of the cash proffers.",,
16SN0679,Rezoning from Agricultural to Residential will allow up to 1.74 units per acre.,,,,,1.74,,,"The passage does not describe any cash proffer contributions made by the developer.The developer is required to make cash proffer contributions of $18,966 per dwelling unit for infrastructure improvements within the cash proffer service district. The amount will be adjusted annually based on the change in the Marshall and Swift Building Cost Index.",18966,
16SN0569,Rezoning from General Business to Community Business will allow for exceptions to ordinance requirements and amendment of zoning district map. Density will be controlled by zoning conditions or Ordinance standards. The Comprehensive Plan suggests the property is appropriate for Neighborhood Business use.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.No cash proffer contributions are described in the passage.,,
16SN0700,Rezoning from Agricultural to Neighborhood Office will allow for the development of a commercial office space.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.No cash proffer contributions are described in the passage.No cash proffer contributions are described in the passage.,,
16SN0696,Rezoning from Agricultural to Agricultural with conditional use to permit a contractor's office plus conditional use planned development to permit exceptions to ordinance requirements and amendment of zoning district map on 0.5 acre known as 8728 Forest Hill Avenue.,,,,,,,,There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.,,
16SN0705,Rezoning from Community Business and Residential to Residential plus conditional use planned development will allow exceptions to ordinance requirements and amendment of zoning district map. Density will be controlled by zoning conditions or Ordinance standards. The Comprehensive Plan suggests the property is appropriate for Suburban Residential II use with 2.0 to 4.0 dwellings per acre.,,,,,,,,There are no cash proffer contributions described in the passage.,,
16SN0703,Rezoning from Agricultural to Community Business will allow for the development of a shopping center on a 1-acre tract and a conditional use planned development on a 4-acre tract. The density will be controlled by zoning conditions or ordinance standards. The Comprehensive Plan suggests that the property is appropriate for Neighborhood Business use.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.Empty stringNo cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.Empty stringNo cash proffer contributions are described in the passage.The passage does not describe any cash proffer contributions made by the developer.There is no mention of any cash proffer contributions made by the developer in the passage.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.Empty stringNo cash proffer contributions are described in the passage.Empty string,,
16SN0713,Rezoning from General 7 Industrial to General Business will allow for development of the property with conditions and exceptions. The proposed change does not specify the number or type of housing units that would be built.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
16SN0716,Rezoning from Community Business to General Business will permit a mini storage facility on the property.,,,,,,,,There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.,,
16SN0721,"Rezoning from Residential to Agricultural of 54.1 acres. Density will be controlled by zoning conditions or Ordinance standards. The property shall not be further subdivided, including any family subdivisions.",,,,,,,,The developer made a cash proffer contribution of zero dollars.,,
16SN0581,"Rezoning from Residential Townhouse to Residential Townhouse plus conditional use planned development on 33.5 acres located in the southeast and southwest corners of Pocoshock Boulevard and Elkhardt Road and along the east line of Pocoshock Boulevard, south of Elkhardt Road. Density will be controlled by zoning conditions or Ordinance standards.",,,,,,,,There is no mention of any cash proffer contributions made by the developer in the passage.The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.,,
16SN0685,Rezoning from Corporate Office to Neighborhood Business with conditional use planned development on 0.7 acre located at the southeast corner of Iron Bridge Road and West Booker Boulevard. Density will be controlled by zoning conditions or Ordinance standards. The proposed C-2 zoning is consistent with neighboring commercial zoning along Iron Bridge Road. No specific details about the number or type of housing units to be built are provided.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.Empty stringEmpty stringNo cash proffer contributions are described in the passage.Empty stringThere are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.Empty stringThere is no mention of any cash proffer contributions made by the developer in the passage.Empty stringNo cash proffer contributions are described in the passage.Empty stringEmpty stringEmpty stringEmpty string,,
16SN0712,Rezoning from Corporate Office to Residential R-12 on 2.0 acres. The proposed change would allow for up to 3.36 units per acre in the Residential district.,,,,7,,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.No cash proffer contributions are described in the passage.,,
17SN0512,"Rezoning from Corporate Office to Community Business will allow various permitted uses including carpenter and cabinetmakers' offices, contractors' offices, electrical, plumbing, or heating supply service, feed, seed, and ice sales, home centers, recreational establishments, restaurants, schools, secondhand and consignment stores, veterinary hospitals or clinics, and outside storage.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.Empty string,,
17SN0585,Rezoning from Agricultural to Light Industrial will allow for the development of a light industrial use on the property.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.,,
17SN0505,Rezoning from Agricultural and Community Business to General Business with conditional use planned development. The proposed rezoning would permit commercial uses typically associated with increased outside storage and display.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.,,
16SNO704,"Rezoning from Community Business and Light Industrial to Regional Business with conditional use for multifamily, townhouse, outside storage, public address system, electronic message center signs, and brewery uses. Also includes conditional use planned development for boat sales, model homes, and exceptions to ordinance requirements. Proposed development includes 330 apartment units, 360 townhouses, 115,000 square feet of retail, 50,000 square feet of restaurants, 330,000 square feet of commercial business park, and a 40-acre outdoor adventure park.",,360,330,,,,,"There are no cash proffer contributions described in the passage.The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.The developer has agreed to pay $9,400 per townhouse dwelling unit to the County of Chesterfield for road improvements within the service district for the property.The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.",9400,
16SN0586,Rezoning from Agricultural to Residential Townhouse will allow for the development of a residential community with age-restricted housing for older persons. The exact number of housing units is not specified.,,,,,,,,"The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.The passage does not describe any cash proffer contributions made by the developer.The developer has agreed to pay a cash proffer of $3,854.00 per dwelling unit for road infrastructure improvements within the service district for the property.",,
17SN0501,"Rezoning from Agricultural to Residential with conditional use planned development will permit residential use of up to 2.90 units per acre. The proposed change includes the construction of sidewalks on at least one side of each street within the property, connection of streets and sidewalks to adjacent subdivisions, and the provision of recreational amenities such as a clubhouse, trails, fitness center, pool, riverwalk trails, cricket field, and two community docks for river access.",,,,,2.9,,,"The developer has made two cash proffer contributions in this rezoning case. The first proffer is for the construction of sidewalks on at least one side of each street within the property, connecting to adjacent subdivisions. The second proffer is for the provision and maintenance of various recreational amenities, including a clubhouse, trails, fitness center, pool, riverwalk trails, cricket field, and two community docks.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.No cash proffers are described in the passage.",,
17SN0743,"Rezoning from Agricultural to Residential (R-12) on 0.3 acre fronting 95 feet on the north line of Meadowview Drive, 225 feet west of Warrior Drive. Residential use of up to 3.33 units per acre is permitted in the Residential (R-12) District.",,,,1,,,,No cash proffer contributions are described in the passage.,,
17SN0761,NA,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.The passage does not describe any cash proffer contributions made by the developer.,,
17SN0602,"Rezoning from Corporate Office to General Business with conditional use planned development. The proposed change includes the development of an indoor self-storage facility with limitations on outside storage and self-storage units used for office or dwelling purposes. The proffered conditions include setback requirements, exterior facade design, lighting restrictions, hours of operation, noise level restrictions, and post-development discharge rate regulations.",,,,,,,,The passage does not describe any cash proffer contributions made by the developer.No cash proffers are described in the passage.,,
17SN0783,Rezoning from Agricultural to Residential will allow exceptions to ordinance requirements and amendment of zoning district map. Density will be controlled by zoning conditions or ordinance standards.,,,,,,,,"The passage does not describe any cash proffer contributions made by the developer.Empty stringThe developer has made a cash proffer contribution of $9,400 per unit for road improvements within the service district for each property.",9400,
17SNn7A4,Rezoning from Residential (R-7) and Multifamily Residential (R-MF) to Multifamily Residential (R-MF) plus conditional use planned development on 18 acres. The proposed development is a 67-unit age-targeted development consisting of a mix of single-family and duplex units.,,,,,,67,,"The passage does not describe any cash proffer contributions made by the developer.There are no cash proffer contributions described in the passage.There are no cash proffer contributions described in the passage.The developer is required to pay $3,854 per dwelling unit to the County of Chesterfield for road improvements within the service district for the property.There are no cash proffer contributions described in the passage.No cash proffer contributions are described in the passage.",3854,
17SNO806,Rezoning from Residential and Neighborhood Business to Townhouse Residential will allow for the development of townhouses on the property. The density will be controlled by zoning conditions or ordinance standards.,,,,,,,,The passage does not describe any cash proffer contributions made by the developer.Empty stringNo cash proffers are described in the passage.There are no cash proffer contributions described in the passage.,,
