"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"08/01/2012","RZ-2012-MV-018","Rezoning","Approved","CAPITAL INVESTMENT ADVISORS, LLC","6228 RICHMOND HY ALEXANDRIA, VA 223032438","RZ   2012-MV-018",
"06/28/2012","RZ-2012-MV-004","Rezoning","Approved","8921 PROPERTIES, LLC","8921 TELEGRAPH RD LORTON, VA 220791529","RZ   2012-MV-004",
"06/26/2012","RZ-2012-DR-017","Rezoning","Approved","CHRISTOPHER AND KAREN BARTH","7250 IDYLWOOD RD FALLS CHURCH, VA 220432702","RZ   2012-DR-017",
"06/18/2012","RZ-2010-HM-008","Rezoning","Approved","RBP&M, LLC; SECTION 913, LP; & BOZZUTO DEVELOPMENT COMPANY","1893 METRO CENTER DR RESTON, VA 20190","RZ   2010-HM-008",
"05/22/2012","RZ-2010-PR-019","Rezoning","Approved","KETTLER SANDBURG, LLC","8001 ELM PL DUNN LORING, VA 220271121","RZ   2010-PR-019",
"05/17/2012","RZ-2012-HM-013","Rezoning","Approved","SEKAS HOMES, LTD","1684 DREWLAINE DR VIENNA, VA 22182","RZ   2012-HM-013",
"05/03/2012","RZ-2012-MV-015_SUP1","Rezoning","Superseded","MCSHAY COMMUNITIES, INC.",,"RZ   2012-MV-015",
"05/03/2012","RZ-2013-MV-015","Rezoning","Approved","VULCAN CONSTRUCTION MATERIALS, LP","9800 OX RD LORTON, VA 220793426","RZ   2013-MV-015",
"04/30/2012","RZ-2011-PR-023","Rezoning","Approved","CITYLINE PARTNERS LLC","8003 WESTPARK DR MCLEAN, VA 221023905","RZ   2011-PR-023",
"04/16/2012","RZ-2012-BR-014","Rezoning","Approved","ELEVEN OAKS LLC","10515 SCHOOL ST FAIRFAX, VA 220304206","RZ   2012-BR-014",
"03/30/2012","RZ-2012-MA-012","Rezoning","Approved","TITAN AMERICA LLC","6600 ELECTRONIC DR SPRINGFIELD, VA 221514300","RZ   2012-MA-012",
"03/28/2012","RZ-2012-DR-006","Rezoning","Approved","BOARD OF SUPERVISOR'S OWN MOTION","8342 ODRICKS LA MC LEAN, VA 221022611","RZ   2012-DR-006",
"03/21/2012","RZ-2012-PR-011_SUP1","Rezoning","Superseded","THE TRUSTEES OF EMMANUEL LUTHERAN CHURCH","2595 CHAIN BRIDGE RD VIENNA, VA 221815577","RZ   2012-PR-011",
"03/20/2012","RZ-2012-SU-010","Rezoning","Approved","NORTHERN VIRGINIA HEALTH INVESTORS, LLC",,"RZ   2012-SU-010",
"03/08/2012","RZ-2012-PR-009","Rezoning","Approved","PROSPERITY METRO PLAZA OF VIRGINIA, LLC","2705 DORR AV FAIRFAX, VA 220314901","RZ   2012-PR-009",
"02/28/2012","RZ-2012-MV-008","Rezoning","Approved","THE ALEXANDER COMPANY, INC.","8990 SILVERBROOK RD, VA","RZ   2012-MV-008",
"02/22/2012","RZ-2009-HM-017","Rezoning","Approved","NUGGET JOINT VENTURE, L.C.","2298 DULLES STATION BV HERNDON, VA 20171","RZ   2009-HM-017",
"02/03/2012","RZ-2012-LE-005","Rezoning","Approved","MUSSARAT S. AHMAD, ADEELA I. AHMAD, TANZEELA I. AHMAD","6227 VILLA ST ALEXANDRIA, VA 223101725","RZ   2012-LE-005",
"01/30/2012","RZ-2011-PR-005","Rezoning","Approved","N V COMMERCIAL INCORPORATED AND CLYDE'S REAL ESTATE GROUP, INC.","8350 LEESBURG PI VIENNA, VA 221822401","RZ   2011-PR-005",
"01/23/2012","RZ-2012-MV-007","Rezoning","Approved","BAINBRIDGE COMMUNITIES ACQUISITION III, LLC","9136 BACKLICK RD FORT BELVOIR, VA 220601303","RZ   2012-MV-007",
"01/20/2012","RZ-2012-MV-004_SUP1","Rezoning","Superseded","8921 PROPERTIES, LLC","8921 TELEGRAPH RD LORTON, VA 220791529","RZ   2012-MV-004",
"01/04/2012","RZ-2011-PR-025_SUP2","Rezoning","Superseded","CHESTNUT STREET, LLC","7205 LEESBURG PI FALLS CHURCH, VA 220432308","RZ   2011-PR-025",
