"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"07/19/2011","RZ-2011-HM-027","Rezoning","Approved","1587 SPRINGHILL HOLDINGS, INC.","1591 SPRING HILL RD VIENNA, VA 221820000","RZ   2011-HM-027",
"07/19/2011","RZ-2011-HM-026","Rezoning","Dismissed","Q-R SPRING HILL LLC","1577 SPRING HILL RD VIENNA, VA 221822223","RZ   2011-HM-026",
"07/18/2011","RZ-2011-MV-031","Rezoning","Approved","MIDATLANTIC REALTY PARTNERS, LLC","2550 HUNTINGTON AV ALEXANDRIA, VA 223031400","RZ   2011-MV-031",
"07/14/2011","RZ-2011-MA-029","Rezoning","Approved","NEIGHBORHOODS VI, LLC","6651 LITTLE RIVER TP ANNANDALE, VA 220030000","RZ   2011-MA-029",
"07/07/2011","RZ-2011-HM-032","Rezoning","Approved","TYSONS WEST RESIDENTIAL, L.L.C. AND JBG/TYSONS HOTEL, L.L.C.","8661 LEESBURG PI VIENNA, VA 221822226","RZ   2011-HM-032",
"07/05/2011","RZ-2011-SU-024","Rezoning","Approved","POHANKA STONECROFT LLC","4175 STONECROFT BV CHANTILLY, VA 20151","RZ   2011-SU-024",
"06/28/2011","RZ-2011-MA-028","Rezoning","Deferred Indefinitely","ANA L CORNEJO","4954 SUNSET LA ANNANDALE, VA 220036020","RZ   2011-MA-028",
"06/28/2011","RZ-2010-PR-019_SUP2","Rezoning","Superseded","KETTLER SANDBURG LLC","8001 ELM PL DUNN LORING, VA 220271121","RZ   2010-PR-019",
"06/20/2011","RZ-2011-LE-019","Rezoning","Approved","CLIFTON N. MORRIS, JR. AND STEPHEN L. MORRIS","6414 POTTERS LA ALEXANDRIA, VA 223102507","RZ   2011-LE-019",
"06/09/2011","RZ-2010-PR-014A","Rezoning","Approved","GEORGELAS GROUP LLC",,"RZ   2010-PR-014A",
"06/09/2011","RZ-2010-PR-014B","Rezoning","Approved","GEORGELAS GROUP LLC","1524 SPRING HILL RD MCLEAN, VA 221023005","RZ   2010-PR-014B",
"06/07/2011","RZ-2011-PR-025_SUP1","Rezoning","Superseded","CHESTNUT STREET, LLC","7205 LEESBURG PI FALLS CHURCH, VA 220432308","RZ   2011-PR-025",
"06/07/2011","RZ-2011-PR-021","Rezoning","Approved","PAGE ANNANDALE ROAD ASSOCIATES, L.L.C.","6660 ARLINGTON BV FALLS CHURCH, VA 220426608","RZ   2011-PR-021",
"06/02/2011","RZ-2011-LE-020","Rezoning","Approved","BELL GROUP GENERAL PARTNERSHIP","5516 OAKWOOD RD ALEXANDRIA, VA 223101006","RZ   2011-LE-020",
"05/27/2011","RZ-2011-PR-018","Rezoning","Approved","CHRISTOPHER LAND, L.L.C.","9626 COURTHOUSE RD VIENNA, VA 221815410","RZ   2011-PR-018",
"05/13/2011","RZ-2011-LE-015","Rezoning","Approved","JEFFERSON DEVELOPMENT LLC","5755 CASTLEWELLAN DR ALEXANDRIA, VA 22315","RZ   2011-LE-015",
"04/29/2011","RZ-2011-PR-023_SUP1","Rezoning","Superseded","CITYLINE PARTNERS LLC","8003 WESTPARK DR MCLEAN, VA 221023905","RZ   2011-PR-023",
"04/21/2011","RZ-2011-BR-014","Rezoning","Approved","MIDLAND ROAD LLC AND RIDGEWOOD COMMERCIAL OWNERS ASSOCIATION",,"RZ   2011-BR-014",
"03/29/2011","RZ-2011-LE-016","Rezoning","Approved","INSIGHT PROPERTY GROUP, LLC","6210 N KINGS HY ALEXANDRIA, VA 223032403","RZ   2011-LE-016",
"03/21/2011","RZ-2010-MA-017","Rezoning","Approved","UPIA, LLC","7151 DEGROFF CT ANNANDALE, VA 220030000","RZ   2010-MA-017",
"03/18/2011","RZ-2006-PR-027","Rezoning","Approved","TCR MID ATLANTIC PROPERTIES, INC. & FAIRFAX RIDGE CONDOMINIUM UNIT OWNERS ASSOCIATION","3887 FAIRFAX RIDGE RD FAIRFAX, VA 22030","RZ   2006-PR-027",
"03/17/2011","RZ-2011-PR-005_SUP1","Rezoning","Superseded","NV COMMERCIAL INCORPORATED AND CLYDE'S REAL ESTATE GROUP, INC.","8346 LEESBURG PI VIENNA, VA 221822401","RZ   2011-PR-005",
"03/16/2011","RZ-2011-LE-008","Rezoning","Approved","LOISDALE 24, LLC","7961 LOISDALE RD SPRINGFIELD, VA 22150","RZ   2011-LE-008",
"02/18/2011","RZ-2011-PR-010","Rezoning","Approved","CITYLINE PARTNERS LLC","1700 OLD MEADOW RD MC LEAN, VA 221024302","RZ   2011-PR-010",
"02/18/2011","RZ-2011-PR-009_SUP1","Rezoning","Superseded","CITYLINE PARTNERS LLC","1830 DOLLEY MADISON BV MCLEAN, VA 22102","RZ   2011-PR-009",
"02/18/2011","RZ-2011-PR-011_SUP1","Rezoning","Superseded","CITYLINE PARTNERS LLC","7600 COLSHIRE DR MCLEAN, VA 221027603","RZ   2011-PR-011",
"02/14/2011","RZ-2011-LE-022","Rezoning","Approved","SPRINGFIELD METRO CENTER II, LLC AND SPRINGFIELD 6601 LLC","6605 SPRINGFIELD CENTER DR SPRINGFIELD, VA 221501913","RZ   2011-LE-022",
"02/11/2011","RZ-2011-PR-017","Rezoning","Approved","COMMONS OF MCLEAN L/CAL LLC","7536 AMBERGATE PL MCLEAN, VA 221027536","RZ   2011-PR-017",
"02/03/2011","RZ-2010-PR-014C_SUP1","Rezoning","Superseded","GEORGELAS GROUP LLC","8590 LEESBURG PI VIENNA, VA 221822213","RZ   2010-PR-014C",
"02/01/2011","RZ-2011-HM-013_SUP1","Rezoning","Superseded","CARS-DB1, LLC","8527 LEESBURG PI VIENNA, VA 221822406","RZ   2011-HM-013",
"02/01/2011","RZ-2011-HM-012","Rezoning","Approved","CARS-DB1, LLC","1592 SPRING HILL RD VIENNA, VA 221822205","RZ   2011-HM-012",
"01/18/2011","RZ-2011-SU-006","Rezoning","Approved","LANDMARK ATLANTIC DEVELOPMENT, LLC","5837 STONE RD CENTREVILLE, VA 201201622","RZ   2011-SU-006",
"01/06/2011","RZ-2010-PR-022_SUP1","Rezoning","Superseded","CAMPUS POINT REALTY CORPORATION AND TYSONS WESTPARK, L.C.","8401 WESTPARK DR MCLEAN, VA 221023602","RZ   2010-PR-022",
