Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
PLN2007-00795,18355,,"TO REZONE TWO PARCELS, +/-11.12 ACRES, FROM M-2 TO M-1 TO ALLOW ADDITIONAL HEAVY INDUSTRIAL USES",M-2,M-1,11.12,,,,,,
PLN2007-00817,,,"REZ OCCOQUAN OVERLOOK LOT 37A (GARCIA PROPERTY) (10 AC. FROM A-1 TO SR5); SRR, ER; RPA ",A-1,SR-5,10,,,,,,
PLN2008-00001,1923,," REZ; +/-5.66 ACRES FROM A-1 TO M-1; A-1, FEC",A-1,M-1,5.66,,,,,,
PLN2008-00020,,,,,,,,,,,,
PLN2008-00036,,,,,,,,,,,,
PLN2008-00059,1921,,REQUEST TO REZONE FROM A-1 TO M-1 TO ALLOW FOR THE SUBMISSION OF AN SUP OF A CONCRETE PLANT IN AN M-1 ZONE - TOTAL AREA OF CONCRETE PLANT IS +/-4.0 ACRES,A-1,M-1,4,,,,,,
PLN2008-00064,6088,,REQUEST TO REZONE APPROX. 122 ACRES OF A-1 TO SR-1 ALLOW FOR THE CONSTRUCTION OF 62 SFD,A-1,SR-1,122,62,,,,,
PLN2008-00073,28917,,REZ FORTUNA VILLAGE-SENIOR LIVING; B-1 TO PMR-HIGH; SRM,B-1,PMR-HIGH,,,,,,,
PLN2008-00086,,,"TOKEN VALLEY ROAD PROPERTY
REZONE A-1, AGRICULTURAL TO SRR-1, SEMI-RURAL RESIDENTIAL ",A-1,SR-1,,,,,,,
PLN2008-00087,1811,,"REZ INTERSTATE DRIVE INVESTMENT, LLC; A-1 TO M-2, LIGHT INDUSTRIAL; FEC & POTOMAC COMMUNITIES REVITALIZATION PLAN",A-1,M-2,,,,,,,
PLN2008-00169,6401,,"REZ, FROM B-1 TO R-4, 1.16 AC; CONCURRENT WITH SUP #PLN2008-00168; B-1, AE",B-1,R-4,1.16,,,,,,
PLN2008-00195,28597,,REZ SR-1 TO R-4. 3 PARCELS ON 3.29 ACRES FOR 7 SFD. ,SR-1,R-4,3.29,7,,,,,
PLN2008-00203,1779,,"REZ (SHOPS AT STONEWALL SERVICE AUTHORITY PARCEL REZONING) FROM A-1 TO RPC, SRR, +/- 0.416 AC",A-1,RPC,0.4,,,,,,
PLN2008-00253,7376,,"REZ, FROM A1-M-1, EI AND FEC LONGRANGE DESIGNATION, 53.9 AC",A-1,M-1,53.9,,,,,,
PLN2008-00280,7385,,"REZ, FROM A-1 TO M-2;REC, TEOD OVERLAY",A-1,M-2,,,,,,,
PLN2008-00284,664,,REZ  LINDSAY CHEVROLET (A-1 TO B-1); NC; IN POTOMAC COMMUNITIES,A-1,B-1,,,,,,,
PLN2008-00354,38829,,"REZ HORNBAKER INDUSTRIAL PARK PH3, LOT 4A & 6; M-1 TO M/T; EI",M-1,M/T,,,,,,,
PLN2008-00416,,,REZ U-HAUL CENTER OF POTOMAC MILLS (M-2 TO B-1); RCC,M-2,B-1,,,,,,,
PLN2008-00424,8325,,REZ WOODBRIDGE SEVENTH-DAY ADVENTIST CHURCH (A-1 TO O(M); FEC,A-1,O(M),,,,,,,
PLN2008-00495,,1,"REZ POTOMAC TOWN CENTER-MIXED USE COMMUNITY (24.95 AC FROM B-1 AND 8.95 AC FROM R-30 TO PMD) & WAIVER RE BUFFERS, BLDG. HEIGHT, & TO ALLOW DISTURBANCE OF 25% SLOPE  ADJACENT TO BUILDING BLOCK B; RCC, URH, OFFICE, & ER",B-1,PMD,24.95,,,,,,
PLN2008-00495,,2,"REZ POTOMAC TOWN CENTER-MIXED USE COMMUNITY (24.95 AC FROM B-1 AND 8.95 AC FROM R-30 TO PMD) & WAIVER RE BUFFERS, BLDG. HEIGHT, & TO ALLOW DISTURBANCE OF 25% SLOPE  ADJACENT TO BUILDING BLOCK B; RCC, URH, OFFICE, & ER",R-30,PMD,8.95,,,,,,
PLN2008-00600,,,"SUPERSEDED BY RZPR2022-00045/REZ2020-00021  -  REZ - BUCKEYE TIMBER PROPERTIES, REZONE FROM A-1 TO M-2 AND BUILD MULTIPLE 1-2 STORY FLEX/LIGHT INDUSTRIAL/WAREHOUSE BUILDINGS - ZONED (A-1), LONG RANGE (FEC)",A-1,M-2,,,,,,,
PLN2008-00608,,,"PRINCE WILLIAM STATION - REZ - TO REZONE FROM M-1 TO PMD, PMR.",M-1,"PMD, PMR",,,,,,,
PLN2008-00618,7681,,REZONE .4768 ACRES FROM A-1 TO B-1 TO ALLOW FOR EITHER A RESTAURANT OR OFFICE BUILDING. ,A-1,B-1,0.48,,,,,,
PLN2008-00633,,,REZONE 2.6155 ACRES FROM A-1 TO R-4 TO ALLOW A MAXIMUM OF 5 SINGLE FAMILY DETACHED HOMES,A-1,R-4,2.62,5,,,,,
PLN2008-00668,,,"REZ - HAYMARKET CROSSING - TO REZONE +/- 73.097 ACRES FROM A-1(AGRICULTURAL) TO PBD (PLANNED BUSINESS DISTRICT) - 15410 JOHN MARSHALL HY, BETWEEN JOHN MARSHALL HY AND I-66, APPROX. 1600 FT. WEST THE INTERSECTION OF JOHN MARSHALL HY AND JAMES MADISON HY, AND NORTH OF I-66, AT THE EXISTING TERMINUS OF HEATHCOTE BLVD.",A-1,PBD,73.1,,,,,,
PLN2009-00016,18355,,"REZONE 11.1191 ACRES FROM M-2 TO B-1 TO INCLUDE THE FOLLOWING USES: INDOOR RECREATION FACILITY, OFFICE, AND RETAIL; EI, M-2",M-2,B-1,11.12,,,,,,
PLN2009-00027,9281,,"REZONING - FROM M-1 TO M/T.  CONCURRENT TO CPA #PLN2008-00353, IDS.  USE PERMITTED BY SUP #PLN2006-00340, INDUSTRIAL DISPOSAL SERVICE.  ",M-1,M/T,,,,,,,
PLN2009-00055,11881,,REZ DOMINION POWER WOODBRIDGE (2.05 AC FROM A-1 TO B-1); GC; IN POTOMAC COMMUNITIES & NEABSCO MILLS STUDY AREA,A-1,B-1,2.05,,,,,,
PLN2009-00117,9604,,"REZ FROM B-1 AND M-2 TO M/T; FEC, HCOD","B-1, M-2",M/T,,,,,,,
PLN2009-00162,1828,,"REZ - INDUSTRIAL ROAD PROPERTY - TO REZONE FROM M-2 TO M/T - ZONED, M-2 - LONG RANGE, EI - LOCATED ON SOUTH SIDE OF INDUSTRIAL ROAD AT THE INTERSECTION OF INDUSTRIAL COURT AND INDUSTRIAL ROAD ",M-2,M/T,,,,,,,
PLN2009-00177,,,REZ HERITAGE HUNT - SIMS PROPERTY (REZONE 0.7 AC FROM PMR TO PMD & AMEND PROFFERS FOR REZ #PLN2002-00125); SRM & REC,PMR,PMD,0.7,,,,,,
PLN2009-00319,,,REZ NOVA ENERGY CENTER (BOCS) (REMOVE EXISTING PROFFERS AND REZONE 28.6 AC FROM M-2 TO M-1 WITHOUT PROFFERS); PL,M-2,M-1,,,,,,,
PLN2009-00335,13765,,REZ PROCTOR PROPERTY (1.47 AC FROM SR-5 TO A-1); ER,SR-5,A-1,1.47,,,,,,
PLN2009-00360,11205,1,"REZ - GALVESTON COURT REZONING - REZONE 1.05 ACRES FROM B-1 TO A-1; 1.16 ACRES FROM B-1, B-2, AND O(F); .042 ACRES FROM B-2 TO A-1 WITHOUT PROFFERS TO ALLOW FOR THE CONTINUED SINGLE-FAMILY RESIDENTIAL USE THAT IMPLEMENTS THE SRR, SEMI-RURAL RESIDENTIAL.- ZONED B-1,B-2,A-1,O(F). THE LONG RANGE LAND USE IS DESIGNATED AS SRR, SUBURBAN RURAL RESIDENTIAL, AND NC, NEIGHBORHOOD COMMERCIAL. THE SITE IS LOCATED ON THE WEST SIDE OF GALVESTON COURT, AT THE INTERSECTION OF GALVESTON COURT AND HOADLY ROAD",B-1,A-1,1.05,,,,,,
PLN2009-00360,11205,2,"REZ - GALVESTON COURT REZONING - REZONE 1.05 ACRES FROM B-1 TO A-1; 1.16 ACRES FROM B-1, B-2, AND O(F); .042 ACRES FROM B-2 TO A-1 WITHOUT PROFFERS TO ALLOW FOR THE CONTINUED SINGLE-FAMILY RESIDENTIAL USE THAT IMPLEMENTS THE SRR, SEMI-RURAL RESIDENTIAL.- ZONED B-1,B-2,A-1,O(F). THE LONG RANGE LAND USE IS DESIGNATED AS SRR, SUBURBAN RURAL RESIDENTIAL, AND NC, NEIGHBORHOOD COMMERCIAL. THE SITE IS LOCATED ON THE WEST SIDE OF GALVESTON COURT, AT THE INTERSECTION OF GALVESTON COURT AND HOADLY ROAD",B-1,,1.16,,,,,,
PLN2009-00360,11205,3,"REZ - GALVESTON COURT REZONING - REZONE 1.05 ACRES FROM B-1 TO A-1; 1.16 ACRES FROM B-1, B-2, AND O(F); .042 ACRES FROM B-2 TO A-1 WITHOUT PROFFERS TO ALLOW FOR THE CONTINUED SINGLE-FAMILY RESIDENTIAL USE THAT IMPLEMENTS THE SRR, SEMI-RURAL RESIDENTIAL.- ZONED B-1,B-2,A-1,O(F). THE LONG RANGE LAND USE IS DESIGNATED AS SRR, SUBURBAN RURAL RESIDENTIAL, AND NC, NEIGHBORHOOD COMMERCIAL. THE SITE IS LOCATED ON THE WEST SIDE OF GALVESTON COURT, AT THE INTERSECTION OF GALVESTON COURT AND HOADLY ROAD",B-2,A-1,0.042,,,,,,
PLN2009-00403,66904,,"GEISLER PROPERTY - TO REZONE 9.196 ACRES FROM A-1, AGRICULTURAL TO B-2, NEIGHBORHOOD BUSINESS, FOR THE DEVELOPMENT OF A SHOPPING CENTER AND NURSING AND CONVALESCENT CARE FACILITY.",A-1,B-2,9.2,,,,,,
PLN2009-00414,16962,,"REZ -  19.2 ACRES FROM A-1 TO PMR; SRR, ER",A-1,PMR,19.2,,,,,,
PLN2009-00423,75389,,REZ 11.85 ACRES FROM A-1 TO O(L); SRH. CPA #PLN2009-00298 TO REPLAN PROPERTY FROM SRH TO O WAS INITIATED BY BOCS ON 4-7-09.,A-1,O(L),11.85,,,,,,
PLN2009-00423,75391,,REZ 11.85 ACRES FROM A-1 TO O(L); SRH. CPA #PLN2009-00298 TO REPLAN PROPERTY FROM SRH TO O WAS INITIATED BY BOCS ON 4-7-09.,A-1,O(L),,,,,,,
PLN2009-00479,12022,,"REZ - WOLF RUN BUSINESS PARK; TO DEVELOP AN O(F), OFFICE FLEX, BUSINESS CENTER THAT INCLUDES FLEX OFFICE/WAREHOUSE BUILDINGS IN CONJUCTION WITH AN SUP APPLICATION FOR A SELF-STORAGE FACILITY; ZONED A-1, AGRICULTURAL; LONG RANGE LAND USE DESIGNATION OF FEC, FLEXIBLE EMPLOYMENT CENTER",A-1,O(F),,,,,,,
PLN2009-00514,,,"REZ - NEABSCO OVERLOOK - REZONE 9.0057 ACRES FROM A-1 AND RPC  TO R-4  - TO CREATE 18 LOTS - THE LONG RANGE LAND USE IS DESIGNATED AS SRL, SUBURBAN RESIDENTIAL LOW, AND RPC, RESIDENTIAL PLANNED COMMUNITY. THE SITE IS LOCATED 200' SOUTHEAST OF THE INTERSECTION OF BRIGGS WAY AND EMORY LANE IN CARDINAL GLEN, SECTION 2","A-1, RPC",R-4,9,18,,,,,
PLN2009-00522,8332,,AMEND THE DALE CITY MASTER ZONING RESIDENTIAL PLANNED COMMUNITY ZONING MAP TO REDESIGNATE THE OLD BIRCHDALE FIRE STATION SITE FROM FIRE STATION TO OPEN SPACE AND PARKLAND; RPC; PL; HCOD,,,,,,,,,
PLN2009-00523,17378,,REZ THE MARQUE AT HERITAGE HUNT (11.59 AC FROM PBD TO PMR); PBD; SRL,PBD,PMR,11.59,,,,,,
PLN2010-00045,22177,,REZ FROM A-1 TO B-1. TO BE PROCESSED CONCURRENT WITH CPA #PLN 2009-00270; A-1; SRR; HCOD; I-66/RT 29 SECTOR PLAN,A-1,B-1,,,,,,,
PLN2010-00046,12803,,NEIVA PROPERTY - TO REZONE 1.24 ACRES FROM A-1 TO M-2; FEC,A-1,M-2,1.24,,,,,,
PLN2010-00141,,,"REZ GLEN-GERY (GODWIN DRIVE PROPERTY); 155.2 AC FROM A-1 TO M-1; FEC, NC, SRL & ER; COMPANION CPA #PLN2009-00269",A-1,M-1,155.2,,,,,,
PLN2010-00182,13045,,"REZ - HUNTER AT HAYMARKET - TO REZONE 34.84 ACRES FROM A-1 TO O(M) AND 11.62 ACRES FROM A-1 TO R-4 - THIS IS A COMPANION APPLICATION WITH CPA# PLN2009-00267 THAT REQUESTS TO CHANGE THE LAND USE DESIGNATION FROM SRR TO O(M) AND SRL - THE PROPERTIES ARE LOCATED ON THE EAST SIDE OF THE ROUTE 15 (JAMES MADISON HIGHWAY) APPROXIMATELY 1,400 FEET SOUTH OF THE ROUTE 15/ROUTE 55 INTERSECTION",A-1,"O(M), R-4",46.46,,,,,,
PLN2010-00182,27301,,"REZ - HUNTER AT HAYMARKET - TO REZONE 34.84 ACRES FROM A-1 TO O(M) AND 11.62 ACRES FROM A-1 TO R-4 - THIS IS A COMPANION APPLICATION WITH CPA# PLN2009-00267 THAT REQUESTS TO CHANGE THE LAND USE DESIGNATION FROM SRR TO O(M) AND SRL - THE PROPERTIES ARE LOCATED ON THE EAST SIDE OF THE ROUTE 15 (JAMES MADISON HIGHWAY) APPROXIMATELY 1,400 FEET SOUTH OF THE ROUTE 15/ROUTE 55 INTERSECTION",A-1,"O(M), R-4",,,,,,,
PLN2010-00193,12663,,"REZ LAKE VIEW PROFESSIONAL CENTER; A-1 TO O(M); CEC, ER; RTE 29 HCOD",A-1,O(M),,,,,,,
PLN2010-00309,59010,,"REZ - HUNTER PROPERTY - REZONE 92.75 ACRES FROM A-1(AGRICULTURAL) TO M-1(HEAVY INDUSTRIAL) - REZONE 10.03 ACRES FROM M-1(HEAVY INDUSTRIAL) TO M-1(HEAVY INDUSTRIAL) - LOCATED ON THE SOUTH SIDE OF WELLINGTON ROAD (RTE. 674), AT THE EXISTING TERMINUS OF PROGRESS COURT AND EXTENDING IN A SOUTH AND SOUTHEASTERLY DIRECTION APPROXIMATELY 2,500 FEET - ",A-1,M-1,92.75,,,,,,
PLN2010-00323,,,"REZONE - +/-5.236 ACRES FROM A-1 TO B-2; COMPANION CPA #PLN2009-00299, SRL TO NC",A-1,B-2,5.2,,,,,,
PLN2010-00379,31799,,"BOCS INITIATED AMENDMENT TO DALE CITY RPC  MASTER ZONING PLAN TO PROVIDE APPROPRIATE ZONING FOR THE WARTIME MUSEUM SITE, AN OFFSITE CURATOR'S SHOP AND REZONE OTHER AREAS TO REPLACE COMMERCIAL, RESIDENTIAL AND OPEN SPACE AREAS DISPLACED BY THE PROPOSED MUSEUM.",,,,,,,,,
PLN2010-00397,71077,,REZONE +/- 39.08 ACRES FROM A-1 AND R-4 TO B-1. COMPANION CPA #PLN2009-00297,"A-1, R-4",B-1,39.08,,,,,,
PLN2010-00456,40126,,REZ APPROX. 1.9 AC. TO PBD & PRA TO INCORPORATE ADD'L ACREAGE INTO EXISTING HERITAGE HUNT COMMERCIAL PBD; PBD; REC,,PBD,1.9,,,,,,
PLN2010-00457,28589,1,REZ THE OAKS III (APPROX. 3 AC FROM A-1 TO O(L) & APPROX. 1.2 AC FROM A-1 TO SR-1; & TO DESIGNATE 13.5 AC OF A-1 AS A CONSERVATION EASEMENT; O & SRL; WITHIN THE OLD BRIDGE ROAD HCOD,A-1,"O(L), SR-1",4.2,,,,,,
PLN2010-00457,39792,1,REZ THE OAKS III (APPROX. 3 AC FROM A-1 TO O(L) & APPROX. 1.2 AC FROM A-1 TO SR-1; & TO DESIGNATE 13.5 AC OF A-1 AS A CONSERVATION EASEMENT; O & SRL; WITHIN THE OLD BRIDGE ROAD HCOD,A-1,"O(L), SR-1",,,,,,,
PLN2011-00007,71076,,REZONE +/- 5.146 ACRES FROM A-1 TO B-1. COMPANION CPA # PLN2009-00297. FEC; HCOD,A-1,B-1,5.15,,,,,,
PLN2011-00059,28599,,"REZ FROM A-1 TO R-4 TO CONSTRUCT A 17 LOT, SINGLE FAMILY RESIDENTIAL SUBDIVISION; A-1; SRL; HCOD",A-1,R-4,,17,,,,,
PLN2011-00161,32775,,REZONE 10.15 AC FROM B-1 TO PMR & AMEND PROFFERS FOR REZ #PLN2001-00139; B-1; CONCURRENT WITH CPA #PLN2011-00138,B-1,PMR,10.15,,,,,,
PLN2011-00161,32781,,REZONE 10.15 AC FROM B-1 TO PMR & AMEND PROFFERS FOR REZ #PLN2001-00139; B-1; CONCURRENT WITH CPA #PLN2011-00138,B-1,PMR,10.15,,,,,,
PLN2011-00206,12388,,REZ & PROFFER AMEND (9.06 AC.  FROM A-1 TO R-4 & PROFFER AMENDMENT TO REZ #PLN2004-00151 FOR 5.29 AC. OF R-4); A-1 & R-4; SRL; CONCURRENT WITH SUP #PLN2011-00207,A-1,R-4,9.06,,,,,,
PLN2011-00208,,,REZONE 0.95 ACRES FROM R-4 TO A-1. COMPANION SUP #PLN2011-00209. ,R-4,A-1,0.95,,,,,,
PLN2011-00257,10561,,"REZ - BROAD RUN LOT - TO REZONE 3 ACRES FROM M-2, LIGHT INDUSTRIAL TO M/T, INDUSTRIAL TRANSPORTATION - OUTSIDE STORAGE AND WAREHOUSE - LONG RANGE LAND USE IS INDUSTRIAL EMPLOYMENT, EI. - LOCATED APPROXIMATELY 300 FEET FROM THE INTERSECTION OF INDUSTRIAL ROAD AND HAWKINS DRIVE ON THE NORTHWEST SIDE OF INDUSTRIAL ROAD - THE SITE IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT - THE PROPERTY IS ZONED M-2, LIGHT INDUSTRIAL.",M-2,M/T,3,,,,,,
PLN2011-00268,31795,,"REZ - NEW DOMINION SQUARE - TO REZONE 40.28 ACRES FROM A-1, AGRICULTURAL TO PMR, PLANNED MIXED RESIDENTIAL - TO PROVIDE 324 TOWNHOUSE UNITS - LONG RANGE LAND USE IS CEC, COMMUNITY EMPLOYMENT CENTER - AND SRL, SUBURBAN RESIDENTIAL LOW - THERE IS A COMPREHENSIVE PLAN AMENDMENT REQUEST CPA# PLN2012-00226, TO CREATE SRM, SUBURBAN RESIDENTIAL MEDIUM - LOCATED ON THE EAST SIDE OF DUMFRIES ROAD APPROXIMATELY 0.7 MILES NORTH OF THE DUMFRIES ROAD/PRINCE WILLIAM PARKWAY INTERSECTION.  THE PROPERTY IS ZONED A-1, AGRICULTURE",R-6,B-1,0.6,,,,,,
PLN2011-00295,12157,,REZ GARBER FAMILY TRUSTS (12.8 ACRES; A-1 TO B-1); SRL; CONCURRENT WITH SUP FOR COMMERCIAL PARKING FACILITY & CPA,A-1,B-1,12.8,,,,,,
PLN2011-00325,15689,,REZ RANDOLPH RIDGE LLC (9.39 AC FROM M-2 TO M-T); EI; WITHIN HCOD & AIRPORT SAFETY OVERLAY DISTRICT,M-2,M/T,9.39,,,,,,
PLN2011-00359,30509,,"REZ - VILLAGES OF PIEDMONT II - TO REZONE 493.49 ACRES FROM A-1, AGRICULTURAL, B-1, GENERAL BUSINESS, O(M) OFFICE MID RISE, O(F) OFFICE/FLEX, M-2, LIGHT INDUSTRIAL, AND R-2, SUBURBAN RESIDENTIAL, TO A-1, AGRICULTURAL, R-4, SUBURBAN RESIDENTIAL, AND R-6, SUBURBAN RESIDENTIAL, TO BE CONSIDERED CONCURRENTLY WITH THE COMPREHENSIVE PLAN AMENDMENT REQUEST CPA#PLN2011-00188 - LOCATED AT THE INTERSECTION OF ROUTE 15 AND MARKET RIDGE BOULEVARD ","A-1, B-1, O(M), O(F), M-2, R-2","A-1, R-4, R-6",493.49,,,,,,
PLN2011-00359,30529,,"REZ - VILLAGES OF PIEDMONT II - TO REZONE 493.49 ACRES FROM A-1, AGRICULTURAL, B-1, GENERAL BUSINESS, O(M) OFFICE MID RISE, O(F) OFFICE/FLEX, M-2, LIGHT INDUSTRIAL, AND R-2, SUBURBAN RESIDENTIAL, TO A-1, AGRICULTURAL, R-4, SUBURBAN RESIDENTIAL, AND R-6, SUBURBAN RESIDENTIAL, TO BE CONSIDERED CONCURRENTLY WITH THE COMPREHENSIVE PLAN AMENDMENT REQUEST CPA#PLN2011-00188 - LOCATED AT THE INTERSECTION OF ROUTE 15 AND MARKET RIDGE BOULEVARD ","A-1, B-1, O(M), O(F), M-2, R-2","A-1, R-4, R-6",,,,,,,
PLN2011-00359,30581,,"REZ - VILLAGES OF PIEDMONT II - TO REZONE 493.49 ACRES FROM A-1, AGRICULTURAL, B-1, GENERAL BUSINESS, O(M) OFFICE MID RISE, O(F) OFFICE/FLEX, M-2, LIGHT INDUSTRIAL, AND R-2, SUBURBAN RESIDENTIAL, TO A-1, AGRICULTURAL, R-4, SUBURBAN RESIDENTIAL, AND R-6, SUBURBAN RESIDENTIAL, TO BE CONSIDERED CONCURRENTLY WITH THE COMPREHENSIVE PLAN AMENDMENT REQUEST CPA#PLN2011-00188 - LOCATED AT THE INTERSECTION OF ROUTE 15 AND MARKET RIDGE BOULEVARD ","A-1, B-1, O(M), O(F), M-2, R-2","A-1, R-4, R-6",,,,,,,
PLN2011-00373,28917,,"REZONE 15.27 ACRES FROM B-1, GENERAL BUSINESS TO R-16, SUBURBAN RESIDENTIAL. CONCURRENT WITH CPA #PLN2011-00214 (SRM TO SRH)",B-1,R-16,15.27,,,,,,
PLN2011-00404,26666,,"REZONE +/- 5.416 ACRES FROM M-2, LIGHT INDUSTRIAL TO M/T, INDUSTRIAL/TRANSPORTATION; EI",M-2,M/T,5.416,,,,,,
PLN2012-00007,35309,,REZ HEATHCOTE DEVELOPMENT (2.87 AC FROM A-1 TO O(M); CEC; PARTIALLY LOCATED WITHIN ASOD (AIRPORT SAFETY OVERLAY DISTRICT),A-1,O(M),2.87,,,,,,
PLN2012-00021,12022,,"REZ - WOLF RUN RESIDENTIAL - TO REZONE 4.68 ACRES FROM A-1 TO R-4 - TO CREATE 11 SINGLE-FAMILY DETACHED RESIDENTIAL PARCELS - LOCATED 0.23 MILES TO THE NORTHWEST OF THE INTERSECTION OF ADEN ROAD AND BRISTOW ROAD - ZONED A-1, AGRICULTURAL - COMPREHENSIVE PLAN DESIGNATION FEC, FLEXIBLE USE EMPLOYMENT CENTER - ",A-1,R-4,4.68,11,,,,,
