"Submitted","Record Number","Record Type","Address","Project Name","Status",
"11/26/2019","BLDC-193300203","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300202","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300201","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300200","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300193","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300170","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300107","Commercial New","13314 LAUNDERS ST HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300106","Commercial New","13312 LAUNDERS ST HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300105","Commercial New","13310 LAUNDERS ST HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300104","Commercial New","13335 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300103","Commercial New","13333 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300102","Commercial New","13331 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300085","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300084","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300082","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300065","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300060","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300057","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/26/2019","BLDC-193300045","Commercial New","13325 FAIRFIELD RIDGE AVE HERNDON, VA 20171-0000 United States","ARROWBROOK APT","Closed",
"11/22/2019","BLDC-193260068","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260067","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260066","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260065","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260048","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260033","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260032","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260031","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260030","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260025","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/22/2019","BLDC-193260024","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/21/2019","BLDC-193250338","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/21/2019","BLDC-193250333","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/21/2019","BLDC-193250147","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/21/2019","BLDC-193250129","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/21/2019","BLDC-193250111","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Closed",
"11/21/2019","BLDC-193250095","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Inspections Completed",
"11/20/2019","BLDC-193240029","Commercial New","1768 OLD MEADOW RD MCLEAN, VA 22102-4303 United States","THE HIGHLAND DISTRICT BLDG A","Closed",
"11/15/2019","BLDC-193190296","Commercial New","4860 STONECROFT BLVD CHANTILLY, VA 20151-0000 United States","PARK CENTER III","Inspections Completed",
"11/15/2019","BLDC-193190199","Commercial New","6551 LOISDALE CT SPRINGFIELD, VA 22150-0000 United States","KAISER PERMANENTE","Inspections Completed",
"11/13/2019","BLDC-193170049","Commercial New","13455 SUNRISE VALLEY DR HERNDON, VA 20171-0000 United States","PASSPORT NOVA","Inspections Completed",
"11/08/2019","BLDC-193120082","Commercial New","8296 GLASS ALY FAIRFAX, VA 22031 United States","PARC DE VILLE","Inspections Completed",
"11/07/2019","BLDC-193110113","Commercial New","7584 LEESBURG PIKE FALLS CHURCH, VA 22043-2003 United States","FRIENDS OF TYSONS PIMMIT LIBRA","In Review",
"11/07/2019","BLDC-193110044","Commercial New","4604 WEST OX RD FAIRFAX, VA 22030-6124 United States","FAIRFAX COUNTY POLICE","Closed",
"11/05/2019","BLDC-193090255","Commercial New","14001 BRADDOCK RD CENTREVILLE, VA 20120-0000 United States","HORIZON CHILD DEVELOPMENT INC.","Issued",
"11/04/2019","BLDC-193080348","Commercial New","8101A LEE HWY FALLS CHURCH, VA 22042-0000 United States","CRESENDO STUDIOS LLC","In Review",
"11/04/2019","BLDC-193080347","Commercial New","2931 GALLOWS RD FALLS CHURCH, VA 22042-1024 United States","ESB ADVERTISING","Issued",
"11/01/2019","BLDC-193050032","Commercial New","3927 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"11/01/2019","BLDC-193050031","Commercial New","3927 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"11/01/2019","BLDC-193050029","Commercial New","3927 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"11/01/2019","BLDC-193050028","Commercial New","3927 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"11/01/2019","BLDC-193050027","Commercial New","3927 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"11/01/2019","BLDC-193050026","Commercial New","3927 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"10/31/2019","BLDC-193040238","Commercial New","6551 LOISDALE CT SPRINGFIELD, VA 22150-0000 United States","KAISER PERMANENTE","Inspections Completed",
"10/29/2019","BLDC-193020177","Commercial New","1818 LIBRARY ST RESTON, VA 20190-0000 United States","FACEBOOK","Inspections Completed",
"10/28/2019","BLDC-193010011","Commercial New","7137 COLUMBIA PIKE ANNANDALE, VA 22003-3101 United States","GIANT FOOD LLC/ATM","In Review",
"10/23/2019","BLDC-192960062","Commercial New","4211 HENNINGER CT CHANTILLY, VA 20151-2932 United States","CHANTILLY  AUTO","In Review",
"10/22/2019","BLDC-192950317","Commercial New","6636 RICHMOND HWY ALEXANDRIA, VA 22306-0000 United States","WENDY'S","Closed",
"10/22/2019","BLDC-192950028","Commercial New","4860 STONECROFT BLVD CHANTILLY, VA 20151-0000 United States","PARK CENTER III","Inspections Completed",
"10/18/2019","BLDC-192910283","Commercial New","8701 LAUREL CREST DR LORTON, VA 22079-0000 United States","EISMAN GOLF CLUB","Closed",
"10/16/2019","BLDC-192890304","Commercial New","8440 TYCO RD VIENNA, VA 22182-2207 United States","DOMINION ENERGY","Issued",
"10/15/2019","BLDC-192880261","Commercial New","8100 WOLFTRAP RD VIENNA, VA 22182-5156 United States","KILMER MIDDLE SCHOOL","Inspections Completed",
"10/11/2019","BLDC-192840134","Commercial New","3305 GLEN CARLYN RD FALLS CHURCH, VA 22041-2407 United States","ST ANTHONY OF PADUA CATH CH","Closed",
"10/11/2019","BLDC-192840067","Commercial New","5865 TRINITY PKWY CENTREVILLE, VA 20120-0000 United States","TRINITY CENTRE PARCAL 12A","Closed",
"10/10/2019","BLDC-192830208","Commercial New","11400 SHIRLEY GATE CT FAIRFAX, VA 22030-0000 United States","KOREAN NAZARETH CHURCH","Inspections Completed",
"10/07/2019","BLDC-192800018","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/07/2019","BLDC-192800016","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770179","Commercial New",,"SCOTTS RUN BLOCK C","In Review",
"10/04/2019","BLDC-192770170","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770163","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770132","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770120","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770119","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770082","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770048","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770045","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/04/2019","BLDC-192770042","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/03/2019","BLDC-192760363","Commercial New","7900 HERITAGE DR ANNANDALE, VA 22003-5262 United States","OSSIAN HALL PARK","Inspections Completed",
"10/03/2019","BLDC-192760110","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/03/2019","BLDC-192760031","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750365","Commercial New","2053 CHAIN BRIDGE RD VIENNA, VA 22182-2609 United States","VA TIRE & AUTO","Submitted",
"10/02/2019","BLDC-192750318","Commercial New",,"LENNAR HOMES","In Review",
"10/02/2019","BLDC-192750311","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750220","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750212","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750180","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750176","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750169","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750108","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750102","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750075","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750065","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750061","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750051","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750041","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750017","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/02/2019","BLDC-192750010","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/01/2019","BLDC-192740129","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"10/01/2019","BLDC-192740062","Commercial New","8344 BROAD ST MCLEAN, VA 22102-0000 United States","PARIS BAGUETTE BAKERY","Issued",
"09/30/2019","BLDC-192730189","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"09/30/2019","BLDC-192730171","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"09/30/2019","BLDC-192730094","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"09/30/2019","BLDC-192730081","Commercial New","1800 CHAIN BRIDGE RD MCLEAN, VA 22102-1600 United States","SCOTTS RUN BLOCK C","Issued",
"09/30/2019","BLDC-192730058","Commercial New","11444 NORTH SHORE DR RESTON, VA 20190-0000 United States","LAKE ANNE HOUSE","Closed",
"09/27/2019","BLDC-192700114","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Voided",
"09/25/2019","BLDC-192680043","Commercial New","1761 OLD MEADOW RD MCLEAN, VA 22102-4301 United States","HIGHLAND B","Closed",
"09/17/2019","BLDC-192600330","Commercial New",,"RIVERSIDE A1","Waiting for Payment",
"09/17/2019","BLDC-192600329","Commercial New",,"RIVERSIDE A1","Waiting for Payment",
"09/17/2019","BLDC-192600328","Commercial New",,"RIVERSIDE A1","Waiting for Payment",
"09/17/2019","BLDC-192600327","Commercial New",,"RIVERSIDE A1","Waiting for Payment",
"09/17/2019","BLDC-192600326","Commercial New",,"RIVERSIDE A1","Waiting for Payment",
"09/17/2019","BLDC-192600325","Commercial New",,"RIVERSIDE A1","Waiting for Payment",
"09/17/2019","BLDC-192600324","Commercial New",,"RIVERSIDE A2","Waiting for Payment",
"09/17/2019","BLDC-192600321","Commercial New",,"RIVERSIDE A2","Waiting for Payment",
"09/17/2019","BLDC-192600320","Commercial New",,"RIVERSIDE A2","Waiting for Payment",
"09/17/2019","BLDC-192600319","Commercial New",,"RIVERSIDE A2","Waiting for Payment",
"09/17/2019","BLDC-192600318","Commercial New",,"RIVERSIDE A2","Waiting for Payment",
"09/17/2019","BLDC-192600317","Commercial New",,"RIVERSIDE A2","Waiting for Payment",
"09/17/2019","BLDC-192600036","Commercial New","11444 NORTH SHORE DR RESTON, VA 20190-0000 United States","LAKE ANNE HOUSE","Closed",
"09/17/2019","BLDC-192600035","Commercial New","11444 NORTH SHORE DR RESTON, VA 20190-0000 United States","LAKE ANNE HOUSE","Closed",
"09/17/2019","BLDC-192600034","Commercial New","11444 NORTH SHORE DR RESTON, VA 20190-0000 United States","LAKE ANNE HOUSE","Closed",
"09/17/2019","BLDC-192600033","Commercial New","11444 NORTH SHORE DR RESTON, VA 20190-0000 United States","LAKE ANNE HOUSE","Closed",
"09/17/2019","BLDC-192600032","Commercial New","11444 NORTH SHORE DR RESTON, VA 20190-0000 United States","LAKE ANNE HOUSE","Closed",
"09/17/2019","BLDC-192600029","Commercial New","11444 NORTH SHORE DR RESTON, VA 20190-0000 United States","LAKE ANNE HOUSE","Closed",
"09/16/2019","BLDC-192590177","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/16/2019","BLDC-192590167","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/16/2019","BLDC-192590135","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/13/2019","BLDC-192560101","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/13/2019","BLDC-192560095","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/13/2019","BLDC-192560061","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/13/2019","BLDC-192560059","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/13/2019","BLDC-192560055","Commercial New","2317 HUNTINGTON AVE ALEXANDRIA, VA 22303-1545 United States","THE ARDEN","Closed",
"09/11/2019","BLDC-192540319","Commercial New","2670A AVENIR PL VIENNA, VA 22180-0000 United States","BURGE 7","Inspections Completed",
"09/10/2019","BLDC-192530157","Commercial New","2500 JAMES MADISON DR VIENNA, VA 22181-5536 United States","JAMES MADISON HIGH SCHOOL","Inspections Completed",
"09/10/2019","BLDC-192530154","Commercial New","2500 JAMES MADISON DR VIENNA, VA 22181-5536 United States","JAMES MADISON HIGH SCHOOL","Inspections Completed",
"09/06/2019","BLDC-192490279","Commercial New","9100 CHERRYTREE DR ALEXANDRIA, VA 22309-2933 United States","WASHINGTON MILL ELEM SCH","Inspections Completed",
"09/06/2019","BLDC-192490278","Commercial New","9100 CHERRYTREE DR ALEXANDRIA, VA 22309-2933 United States","WASHINGTON MILL ELEM SCH","Inspections Completed",
"09/06/2019","BLDC-192490269","Commercial New","9100 CHERRYTREE DR ALEXANDRIA, VA 22309-2933 United States","WASHINGTON MILL ELEM SCH","Inspections Completed",
"09/04/2019","BLDC-192470011","Commercial New","3925 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"09/04/2019","BLDC-192470010","Commercial New","3925 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"09/04/2019","BLDC-192470009","Commercial New","3925 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS","Closed",
"09/03/2019","BLDC-192460230","Commercial New","3927 FAIR RIDGE DR FAIRFAX, VA 22033-0000 United States","PENDER OAKS BLDG C2","Closed",
"08/30/2019","BLDC-192420260","Commercial New",,"RIVERSIDE B1- GARAGE","In Review",
"08/30/2019","BLDC-192420240","Commercial New",,"RIVERSIDE A2","Submitted",
