Case.Number,Part,Description,zoning_old,zoning_new,acres,n_unknown,n_mfa,n_sfd,n_sfa,n_age_restrict,n_affordable
ZMAP-2011-0001,2,"STONE RIDGE : Rezone approximately 1.5 acres from PDH-4 to PD-IP for hospice care   facility and rezone 10 acres from PD-IP to GB. Co-processed with ZCPA 2011-0003, SPEX 2011-0001, SPEX 2011-0002, and SPMI 2011-0002.",PD-IP,PDIP,1.5,,,,,,
ZMAP-2011-0002,1,PROJECT COLUMBIA : Rezone approximately 3 acres from PD-GI ('72) to PD-IP.,PD-GI,PDIP,3,,,,,,
ZMAP-2011-0003,1,ASHBURN VOLUNTEER FIRE AND RESCUE DEPT : Rezone 2.47 acres from PD-H4 to RC.,PD-H4,RC,2.47,,,,,,
ZMAP-2011-0004,1,CARDINE TORRIS : Rezone 14.7 acres from CR-1 to PDH-6 to allow 70 townhouse units.,CR-1,PDH6,14.7,,70,,,,
ZMAP-2011-0005,1,THE GRANGE AT WILLOWSFORD - EAST LANDBAY : Rezone 98 acres from R-1 to R-2 cluster with no increase in density.  The R-2 cluster district regulations will permit preservation of increased sensitive environmental areas on the site.,R1,R2,98,0,,,,,
ZMAP-2011-0006,1,DIGITAL LOUDOUN : Rezone from PD-OP to PD-OP with proffers independent from ZMAP 1990-0015.,PD-OP,PDOP,,,,,,,
ZMAP-2011-0007,1,"GOOSE CREEK VILLAGE LANDBAYS A,B,&C : Rezone approximately 5.32 acres from R-24 to R-16.",R-24,R-16,5.32,,,,,,
ZMAP-2012-0001,1,DULLES SOUTH : Rezone 9.7 acres from PD-GI to PD-IP to allow data center and other   PD-IP use with zoning ordinance modification.,PD-Gi,PD-IP,9.7,,,,,,
ZMAP-2012-0002,1,RYAN PARK CENTER : Rezone approximately 8.15 acres from PD-OP to PD-TRC.,PDOP,PD-TRC,8.15,,,,,,
ZMAP-2012-0003,1,WALTONWOOD ASHBURN : Rezone 14.9 acres from PD-IP To PD-AAAR.,PD-IP,PDAAAR,14.9,,,,,,
ZMAP-2012-0004,1,ARCOLA CENTER : Rezone 1.2 acres from PD-IP (0.8) and R-16 (0.4) to CLI.,"PD-IP, R-16",CLI,1.2,,,,,,
ZMAP-2012-0005,1,ARCOLA CENTER : Rezone 1.2 acres from CLI to PD-IP (0.8 acres) and R-16 (0.4 acres)   and Rezone 1.2 acres from PD-IP (0.8) and R-16 (0.4) to CLI.,"PD-IP, R-16",CLI,1.2,,,,,,
ZMAP-2012-0005,2,ARCOLA CENTER : Rezone 1.2 acres from CLI to PD-IP (0.8 acres) and R-16 (0.4 acres)   and Rezone 1.2 acres from PD-IP (0.8) and R-16 (0.4) to CLI.,"PD-IP, R-16",CLI,,,,,,,
ZMAP-2012-0005,3,ARCOLA CENTER : Rezone 1.2 acres from CLI to PD-IP (0.8 acres) and R-16 (0.4 acres)   and Rezone 1.2 acres from PD-IP (0.8) and R-16 (0.4) to CLI.,CLI,PDIP,1.2,,,,,,
ZMAP-2012-0005,4,ARCOLA CENTER : Rezone 1.2 acres from CLI to PD-IP (0.8 acres) and R-16 (0.4 acres)   and Rezone 1.2 acres from PD-IP (0.8) and R-16 (0.4) to CLI.,CLI,R16,,,,,,,
ZMAP-2012-0006,1,"WATERSIDE : Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP,PD-IP, R-16, PD-CC(CC) & PD-CC(SC) to allow 3.8 million sf nonres & 2,595    attached MF units, including 395 age-restricted attached MF units JB  9/3/15                                                                Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3.9 million sf nonres & 2,464 res  units (354 SFA, 2,110 MF).                                            Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3,655,500 sf nonres & 2,464 res    units (354 SFA, 2,110 MF).                                            Rezone 335.12 acres from R-1, I-1, PD-RDP, and PD-GI to PD-TC, PD-OP, PD-GI, PD-H6, PH-H4, and PD-CC(CC) to allow 3,162,200 square feet nonresidential uses and 2497 residential units (279 TH, 2218 MF).","R-1, I-1, PD-RDP & PD-GI",PDCCCC,335,,2595,,,395,
ZMAP-2012-0006,2,"WATERSIDE : Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP,PD-IP, R-16, PD-CC(CC) & PD-CC(SC) to allow 3.8 million sf nonres & 2,595    attached MF units, including 395 age-restricted attached MF units JB  9/3/15                                                                Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3.9 million sf nonres & 2,464 res  units (354 SFA, 2,110 MF).                                            Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3,655,500 sf nonres & 2,464 res    units (354 SFA, 2,110 MF).                                            Rezone 335.12 acres from R-1, I-1, PD-RDP, and PD-GI to PD-TC, PD-OP, PD-GI, PD-H6, PH-H4, and PD-CC(CC) to allow 3,162,200 square feet nonresidential uses and 2497 residential units (279 TH, 2218 MF).","R-1, I-1, PD-RDP & PD-GI",PDIP,,,,,,,
ZMAP-2012-0006,3,"WATERSIDE : Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP,PD-IP, R-16, PD-CC(CC) & PD-CC(SC) to allow 3.8 million sf nonres & 2,595    attached MF units, including 395 age-restricted attached MF units JB  9/3/15                                                                Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3.9 million sf nonres & 2,464 res  units (354 SFA, 2,110 MF).                                            Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3,655,500 sf nonres & 2,464 res    units (354 SFA, 2,110 MF).                                            Rezone 335.12 acres from R-1, I-1, PD-RDP, and PD-GI to PD-TC, PD-OP, PD-GI, PD-H6, PH-H4, and PD-CC(CC) to allow 3,162,200 square feet nonresidential uses and 2497 residential units (279 TH, 2218 MF).",,PDOP,,,,,,,
ZMAP-2012-0006,4,"WATERSIDE : Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP,PD-IP, R-16, PD-CC(CC) & PD-CC(SC) to allow 3.8 million sf nonres & 2,595    attached MF units, including 395 age-restricted attached MF units JB  9/3/15                                                                Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3.9 million sf nonres & 2,464 res  units (354 SFA, 2,110 MF).                                            Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3,655,500 sf nonres & 2,464 res    units (354 SFA, 2,110 MF).                                            Rezone 335.12 acres from R-1, I-1, PD-RDP, and PD-GI to PD-TC, PD-OP, PD-GI, PD-H6, PH-H4, and PD-CC(CC) to allow 3,162,200 square feet nonresidential uses and 2497 residential units (279 TH, 2218 MF).",,PDTC,,,,,,,
ZMAP-2012-0006,5,"WATERSIDE : Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP,PD-IP, R-16, PD-CC(CC) & PD-CC(SC) to allow 3.8 million sf nonres & 2,595    attached MF units, including 395 age-restricted attached MF units JB  9/3/15                                                                Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3.9 million sf nonres & 2,464 res  units (354 SFA, 2,110 MF).                                            Rezone 335 acres from R-1, I-1, PD-RDP & PD-GI to PD-TC, PD-OP, PD-IP,PD-H6, PH-H4, & PD-CC(CC) to allow 3,655,500 sf nonres & 2,464 res    units (354 SFA, 2,110 MF).                                            Rezone 335.12 acres from R-1, I-1, PD-RDP, and PD-GI to PD-TC, PD-OP, PD-GI, PD-H6, PH-H4, and PD-CC(CC) to allow 3,162,200 square feet nonresidential uses and 2497 residential units (279 TH, 2218 MF).",,R16,,,,,,,
ZMAP-2012-0007,1,ELKLICK PRESERVE / BRADDOCK ASSEMBLAGE : 03-28-14 Submission: Rezone approx. 64 acres from TR-1 and TR-3 to    TR-1 to allow 83 SFDs.  06-12-12 Submission: Rezone approx. 64 acres  from TR-1 and TR-3 to PDH-3 to allow 152 units (92 SFD and 60 TH).,"TR-1, TR-3",TR-1,,,,83,,,
ZMAP-2012-0008,1,SUNSET CREST MANOR : Rezone 94.33 acres from TR-3 to TR-10.,TR-3,TR10,64,,,,,,
ZMAP-2012-0009,1,AVONLEA RESERVE : Rezone approximately 28 acres from R-1 and CLI to R-8 for 109 townhouse units.,"R-1, CLI",R8,,,109,,,,
ZMAP-2012-0010,1,UNIVERSITY CENTER PARCEL P-1 : Rezone approximately 13.54 acres from PD-RDP to R-8 to construct 90   townhouse units.,PD-RDP,R8,13.54,,90,,,,
ZMAP-2012-0011,1,"TUSCARORA CROSSING : To consider rezoning approximately 250 acres from the PD-GI (Planned  DevelopmentGeneral Industry) zoning district to the PD-H4 (Planned   Development-Housing) zoning district to be administered as R-8        (Residential) and PD-CC-CC (Planned Development-Commercial            Center-Commercial Center) zoning districts, and to the PD-GI and PD-IP(Planned Development-Industrial Park) zoning districts in order to    develop up to 576 residential dwelling units (159 SFD and 417 SFA), upto 85,000 square feet of PD-CC-CC uses, up to 191,000 square feet of  PD-GI uses and up to 1,431,000 square feet of PD-IP uses.",PD-GI,PDGI,250,,,159,417,,
ZMAP-2012-0011,2,"TUSCARORA CROSSING : To consider rezoning approximately 250 acres from the PD-GI (Planned  DevelopmentGeneral Industry) zoning district to the PD-H4 (Planned   Development-Housing) zoning district to be administered as R-8        (Residential) and PD-CC-CC (Planned Development-Commercial            Center-Commercial Center) zoning districts, and to the PD-GI and PD-IP(Planned Development-Industrial Park) zoning districts in order to    develop up to 576 residential dwelling units (159 SFD and 417 SFA), upto 85,000 square feet of PD-CC-CC uses, up to 191,000 square feet of  PD-GI uses and up to 1,431,000 square feet of PD-IP uses.",PD-GI,PDH4,,,,,,,
ZMAP-2012-0011,3,"TUSCARORA CROSSING : To consider rezoning approximately 250 acres from the PD-GI (Planned  DevelopmentGeneral Industry) zoning district to the PD-H4 (Planned   Development-Housing) zoning district to be administered as R-8        (Residential) and PD-CC-CC (Planned Development-Commercial            Center-Commercial Center) zoning districts, and to the PD-GI and PD-IP(Planned Development-Industrial Park) zoning districts in order to    develop up to 576 residential dwelling units (159 SFD and 417 SFA), upto 85,000 square feet of PD-CC-CC uses, up to 191,000 square feet of  PD-GI uses and up to 1,431,000 square feet of PD-IP uses.",PD-GI,PDIP,,,,,,,
ZMAP-2012-0012,1,STONE RIDGE EAST : Rezone approximately 44.5 acres of a 54.5 acre parcel from CLI and R-1 to R-4 for up to 160 single family detached units with modification for ADU buyout.,CLI,R4,44.5,,,,160,,
ZMAP-2012-0013,1,"BRAMBLETON LANDBAYS 1, 3, & 5 : Rezone approximately 69 acres from PD-GI, TR-10 and TR3-UBF to PD-H4.","PD-GI, TR-10, TR3-UBF",PD-H4,69,,,,,,
ZMAP-2012-0013,2,"BRAMBLETON LANDBAYS 1, 3, & 5 : Rezone approximately 69 acres from PD-GI, TR-10 and TR3-UBF to PD-H4.","PD-GI, TR-10, TR3-UBF",PD-H4,,,,,,,
ZMAP-2012-0014,1,BRAMBLETON SHREVEPORT SOUTH : A rezoning application to rezone approximately 214.2 acres from PD-IP   and PD-GI to PDH-4 and PD-GI and CR1 to PD-IP.,"PD-IP, PD-GI, CR1","PDH-4, PD-GI, PD-IP",214.2,,,,,,
ZMAP-2012-0015,1,GOOSE CREEK VILLAGE NORTH : Rezone approximately 12.54 acres from PD-OP to R-24 for 300           additional multi-family high rise units with no ADU's; also see ZCPA 2012-0011,PD-OP,R-24,12.54,,300,,,,
ZMAP-2012-0016,1,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,23.5,,,,,,
ZMAP-2012-0016,2,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,,,,,,,
ZMAP-2012-0016,3,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,,,,,,,
ZMAP-2012-0016,4,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,,,,,,,
ZMAP-2012-0016,5,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,,,,,,,
ZMAP-2012-0016,6,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,,,,,,,
ZMAP-2012-0016,7,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,,,,,,,
ZMAP-2012-0016,8,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDOP,,,,,,,
ZMAP-2012-0016,9,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDSA,,,,,,,
ZMAP-2012-0016,10,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDTC,,,,,,,
ZMAP-2012-0016,11,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDTC,,,,,,,
ZMAP-2012-0016,12,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDTC,,,,,,,
ZMAP-2012-0016,13,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDTC,,,,,,,
ZMAP-2012-0016,14,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDTC,,,,,,,
ZMAP-2012-0016,15,ONE LOUDOUN : Rezone 23.5 acres from PD-OP and PD-TC to PD-SA and rezone 18.9 acres from PD-OP to PD-TC.,"PDOP, PDTC",PDTC,,,,,,,
ZMAP-2012-0017,1,BRAMBLETON BUSINESS CAMPUS : Rezone approximately 54.39 acres from PD-GI to PD-IP with             modifications.                                                        Rezone approximately 68 acres from PD-GI to PD-IP with modifications.,PDGI,PDIP,54.39,,,,,,
ZMAP-2012-0018,1,PROLOGIS PARK GATEWAY - PHASE IV : Rezone 16.8 acres from R-1 to PD-IP.,R-1,PDIP,16.8,,,,,,
ZMAP-2012-0019,1,"CASCADES OVERLOOK : Rezone 13.22 acres from R-1 and PD-OP to PD-TC.  Final approval: 150  MF; 8,000 sq.ft. office; 135,000 sq.ft. retail; 8,600 sq.ft. civic","R-1, PDOP",PDTC,13.22,,150,,,,
ZMAP-2012-0020,1,"EVERMONT TRACE : Rezone approximately 33.48 acres from the PD-IP and PD-H4 zoning districts to the PD-H4 district, administered as R-8 and PDCC-NC, with modifications.","PDIP, PDH4",PDH4,33.48,,,,,,
ZMAP-2012-0021,1,"CROSSTRAIL COMMERCIAL CENTER : Rezone approximately 57.4 acres from PD-IP to PC-CC-                  SC to permit up to 650,000 sf of PD-CC-SC uses, including 100,000 sf  of office use.",PDIP,PDCCSC,,,,,,,
ZMAP-2012-0022,1,LEXINGTON 7 : Rezone approximately 35 acres from PD-OP to R-8 to develop 240        single-family attached dwelling units.,PDOP,R8,,,,,240,,
ZMAP-2012-0023,1,POTOMAC CORNER CENTER : Rezone approximately 3.01 acres from R-1 to PD-CC-NC,R-1,PDCCNC,3.01,,,,,,
ZMAP-2012-0024,1,LEXINGTON 7 - PD-RDP PORTION : Rezone approximately 0.62 acres from PD-OP to PD-RDP.,PDOP,PDRDP,0.62,,,,,,
ZMAP-2013-0001,1,"THE GREENS SOUTH AT WILLOWSFORD : Rezone approximately 737 acres from TR-3UBF to TR-1UBF to permit 802 single family detached units, 20-acre elem school site, 60-acre park site",TR3UBF,TR1UBJ,737,,,802,,,
ZMAP-2013-0002,1,"BRAMBLETON ACTIVE ADULT : Revised application: Request to rezone 13.93 acres from PD-GI to      PD-AAAR & 12.21 acres from PD-AAAR to PD-CC-CC. Change mix of unit    types to include 149 SFD,  507 SFA, 846 MF with no net change in units& revise development design.                                          Revised application to retain PD-AAAR on entire property, still       proposing up to 522 units and to rezone approx. 13.93 acres from PD-GIto PD-AAAR.                                                           Rezone approximately 115.1 acres from PD-AAAR to either PD-H4 or R-8  to allow 522 units to be built as market rate units (not age          restricted) with no net change in units allowed.",PDGI,PDAAAR,13.93,0,,,,,
ZMAP-2013-0002,2,"BRAMBLETON ACTIVE ADULT : Revised application: Request to rezone 13.93 acres from PD-GI to      PD-AAAR & 12.21 acres from PD-AAAR to PD-CC-CC. Change mix of unit    types to include 149 SFD,  507 SFA, 846 MF with no net change in units& revise development design.                                          Revised application to retain PD-AAAR on entire property, still       proposing up to 522 units and to rezone approx. 13.93 acres from PD-GIto PD-AAAR.                                                           Rezone approximately 115.1 acres from PD-AAAR to either PD-H4 or R-8  to allow 522 units to be built as market rate units (not age          restricted) with no net change in units allowed.",PDAAAR,PDCCCC,12.21,0,,,,,
ZMAP-2013-0003,1,"BELMONT EXECUTIVE CENTER : November 2017: Rezone 20.37 acres to R-16 ADU for 105 age resticted   units and 75-100 MF workforce units and rezone 6.5 acres to PD-CC-CC  to develop 34,000 square feet of commerical uses                      04-24-15 Submission: Rezone approx. 16.24 acres from PD-OP to R-24 to develop up to 376 MF dwelling units.  05-02-13 Submission: Rezone     approx. 26 acres from PD-OP to R-16 to develop up to 450 multi-family dwelling units.",,PDCCCC,6.5,,,,,,
ZMAP-2013-0003,2,"BELMONT EXECUTIVE CENTER : November 2017: Rezone 20.37 acres to R-16 ADU for 105 age resticted   units and 75-100 MF workforce units and rezone 6.5 acres to PD-CC-CC  to develop 34,000 square feet of commerical uses                      04-24-15 Submission: Rezone approx. 16.24 acres from PD-OP to R-24 to develop up to 376 MF dwelling units.  05-02-13 Submission: Rezone     approx. 26 acres from PD-OP to R-16 to develop up to 450 multi-family dwelling units.",,R16,20.37,,100,,,105,
ZMAP-2013-0004,1,WILDWOOD FARMS ACTIVE ADULT : Rezone 105 acres from TR-10 to TR-2  to develop 177 SFD age-restrictedunits                                                                 Request approval to rezone approximatel                               y 103 acres from TR-10 to  PD-CV to develop an active adult age restricted community with  255 residential units (138 SFD & 117 SFA) and modifications.,TR-10,TR-2,105,,,,,177,
ZMAP-2013-0005,1,GOOSE CREEK CLUB - REZONING : Rezone approximately 110.2 acres from JLMA-3 to PD-OP (82.3 acres) &  PD-H6 27.9 acres,JLMA-3,PDH6,27.9,,,,,,
ZMAP-2013-0005,2,GOOSE CREEK CLUB - REZONING : Rezone approximately 110.2 acres from JLMA-3 to PD-OP (82.3 acres) &  PD-H6 27.9 acres,JLMA-3,PDOP,82.3,,,,,,
ZMAP-2013-0006,1,"SILVER DISTRICT WEST : A zoning map amendment to rezone approximately 158 acres from the     PD-IP, PD-OP and PD-TRC zoning districts to the PD-TRC district with  modifications","PDIP, PDOP, PDTRC",PDTRC,158,,,,,,
ZMAP-2013-0006,2,"SILVER DISTRICT WEST : A zoning map amendment to rezone approximately 158 acres from the     PD-IP, PD-OP and PD-TRC zoning districts to the PD-TRC district with  modifications","PDIP, PDOP, PDTRC",PDTRC,,,,,,,
ZMAP-2013-0006,3,"SILVER DISTRICT WEST : A zoning map amendment to rezone approximately 158 acres from the     PD-IP, PD-OP and PD-TRC zoning districts to the PD-TRC district with  modifications","PDIP, PDOP, PDTRC",PDTRC,,,,,,,
ZMAP-2013-0007,1,STONE RIDGE EAST II : A zoning map amendment to rezone approximately 16.72 acres from R-1 and PD-CC(CC) to R-8 and the CLI zoning districts to allow the development of up to 80 single-family detached and single-family attached dwell,"R-1, PDCCCC",CLI,16.72,80,,,,,
ZMAP-2013-0007,2,STONE RIDGE EAST II : A zoning map amendment to rezone approximately 16.72 acres from R-1 and PD-CC(CC) to R-8 and the CLI zoning districts to allow the development of up to 80 single-family detached and single-family attached dwell,"R-1, PDCCCC",R8,,,,,,,
ZMAP-2013-0008,1,RYAN ROAD ASSEMBLAGE : Rezone approximately 88 acres from TR-10 to PDH-4 to allow 309 units (169 SFD and 140 SFA including 39 ADUs).,TR-10,PDH4,88,,,169,140,,
ZMAP-2013-0009,1,ONE LOUDOUN : A zoning map amemdment to rezone approximately 3.33 acres from PD-OP   R-16 to allow a continuing care facility.,PDOP,R16,3.33,,,,,,
ZMAP-2013-0010,1,GLASCOCK FIELD AT STONE RIDGE : A zoning map amendment to rezone approximately 7.3 acres from PDOP to R16 to accommodate the relocation of 128 multi-family res             idential units; and to rezone approximately 1.0 acre from R16 to CLI,R16,CLI,1,0,,,,,
ZMAP-2013-0010,2,GLASCOCK FIELD AT STONE RIDGE : A zoning map amendment to rezone approximately 7.3 acres from PDOP to R16 to accommodate the relocation of 128 multi-family res             idential units; and to rezone approximately 1.0 acre from R16 to CLI,PDOP,R16,7.3,0,,,,,
ZMAP-2013-0011,1,FLEETWOOD ROAD NORTH ASSEMBLAGE : A zoning map amendment to rezone the property from TR3-UBF to TR2-UBF for the purpose of construction a community of single family detached dwelling units at a density of 1.57 dwelling units per acre.,TR3UBF,TR2UBF,,,,1.57/acre,,,
ZMAP-2013-0012,1,LIM PROPERTY : Rezone approximately 16.77 acres from R-1 to PD-H4 administered as R-8to allow 80                                                           townhouse units.,R-1,PDH4,16.77,,80,,,,
ZMAP-2013-0013,1,OLD RYAN ROAD : Rezone 3.35 acres from R-1 to R-16 with the purpose of developing a   residential community at an overall density of 9.6 dwelling units per acre with modifications.,R-1,R16,3.35,32,,,,,
ZMAP-2013-0014,1,MCINTOSH ASSEMBLAGE : Rezone 97.11 acres from TR-1 and TR-3 to TR-1 to develop 81 single    family detached units.,TR1,"TR3, TR1",97.11,,,81,,,
ZMAP-2014-0001,1,RT 28 MAPPING OPTIONAL OVERLAY DISTRICTS : Mapping of Route 28 optional overlay districts.,,,,,,,,,
ZMAP-2014-0002,1,ASHBURN OVERLOOK : A zoning map amendment to rezone approximately 10.83 acres from PD-GI to R-8 for up to 72 single-family attached units with modifications,PDGI,R8,10.83,,,,72,,
ZMAP-2014-0003,1,"POLAND HILL : A zoning map amendment to rezone approximately 49 acres from R-1 to   PD-H4, administered as R-8 ADU and R-16 ADU to develop 219 single     family detached, single family attached, and multi-family units, a    portion of which will be age restricted.",R-1,PDH4,49,219,,,,,
ZMAP-2014-0004,1,"OLD STERLING : A zoning map amendment to rezone a split-zoned, one acre parcel PD-GI ('72), R-2 and PD-GI ('93) to PD-IP.","PDGI, R-2",PDIP,1,,,,,,
ZMAP-2014-0005,1,"BELFORT PROPERTIES : A zoning map amendment to rezone approximately 4.32 acres from R4 to  R16 to develop a residential community of single family attached unitsat a density of 9.9 dwelling units per acre, and to rezone            approximately 13.58 acres from R4 and PDIP to PD-CC-CC for the purposeto develop a commercial center with modifications","R4, PDIP",PDCCCC,,,,,,,
