"Submitted/ Initiated","Record Number (xxTMP records have not been submitted)","Record Type","Status","Project Name","Address","Original Application",
"05/09/2017","RZ-2017-MA-016","Rezoning","Approved","OAKWOOD SERVICES INTERNATIONAL","7218 BRADDOCK RD ANNANDALE, VA 220030000","RZ   2017-MA-016",
"05/02/2017","RZ-2017-SP-017","Rezoning","Approved","SHELTER DEVELOPMENT, LLC","12725 LEE HY FAIRFAX, VA 220306516","RZ   2017-SP-017",
"04/28/2017","RZ-2016-PR-020","Rezoning","Approved","SEKAS HOMES, LTD","3010 WILLIAMS DR FAIRFAX, VA 220310000","RZ   2016-PR-020",
"04/21/2017","RZ-2017-PR-015","Rezoning","Approved","PS BUSINESS PARKS, L.P.","8000 WESTPARK DR MCLEAN, VA 221023105","RZ   2017-PR-015",
"04/21/2017","RZ-2017-SU-011","Rezoning","Approved","DD SOUTH 5 LC","3453 HISTORIC SULLY WY CHANTILLY, VA 20151","RZ   2017-SU-011",
"04/11/2017","RZ-2017-HM-018","Rezoning","Approved","1900-02 CAMPUS COMMONS, LLC","1902 CAMPUS COMMONS DR RESTON, VA 201911516","RZ   2017-HM-018",
"04/11/2017","RZ-2015-MV-015","Rezoning","Approved","L & F BOCK FARM, LLC",,"RZ   2015-MV-015",
"03/29/2017","RZ-2017-MA-013","Rezoning","Approved","VULCAN MATERIALS COMPANY, LLC","5650 INDUSTRIAL DR SPRINGFIELD, VA 221514409","RZ   2017-MA-013",
"03/24/2017","RZ-2017-DR-008","Rezoning","Withdrawn","MCLEAN PROPERTIES LLC","6841 REDMOND DR MC LEAN, VA 22101","RZ   2017-DR-008",
"03/23/2017","RZ-2017-PR-010_SUP1","Rezoning","Superseded","TYSONS DEVELOPMENT LLC","8550 LEESBURG PI VIENNA, VA 221822213","RZ   2017-PR-010",
"03/17/2017","RZ-2017-DR-012","Rezoning","Approved","POMEROY COMPANIES, INC./POMEROY INVESTMENTS INC., TR","13710 FRYING PAN RD HERNDON, VA 201713108","RZ   2017-DR-012",
"03/15/2017","RZ-2014-MA-023","Rezoning","Approved","COLUMBIA CROSSROADS L.P.","5839 COLUMBIA PI FALLS CHURCH, VA 220412006","RZ   2014-MA-023",
"03/07/2017","RZ-2017-HM-009","Rezoning","Withdrawn","FARADAY PARTNERS, LLC","1808 MICHAEL FARADAY CT RESTON, VA 201905303","RZ   2017-HM-009",
"03/03/2017","RZ-2017-0074","Rezoning","Returned","FARADAY PARTNERS, LLC","1808 MICHAEL FARADAY CT RESTON, VA 201905303","RZ   2017-0074",
"02/28/2017","RZ-2017-DR-007","Rezoning","Approved","TRUSTEES OF TEMPLE RODEF SHALOM","2110 WESTMORELAND ST FALLS CHURCH, VA 22043","RZ   2017-DR-007",
"02/23/2017","RZ-2017-0059","Rezoning","Returned","CHRISTOPHER LAND, LLC","7820 LIBEAU LA ANNANDALE, VA 220031422","RZ   2017-0059",
"02/08/2017","RZ-2017-MA-005","Rezoning","Approved","MEDICAL BUILDING, INCORPORATED","6060 ARLINGTON BV FALLS CHURCH, VA 220442943","RZ   2017-MA-005",
"01/25/2017","RZ-2017-DR-028","Rezoning","Approved","W-MRP LP OWNER A VIII, L.L.C.","13665 DULLES TECHNOLOGY DR HERNDON, VA 20171","RZ   2017-DR-028",
"01/18/2017","RZ-2016-SU-015","Rezoning","Approved","OLD LEE ROAD LLC","14800 OLD LEE RD CHANTILLY, VA 201510000","RZ   2016-SU-015",
